city,population,cases
Brotas de Macaúbas/BA,10705.0,324
Brotas/SP,24862.0,2236
Brumadinho/MG,41208.0,4241
Brumado/BA,67468.0,9742
Brunópolis/SC,2318.0,334
Brusque/SC,140597.0,30531
Brás Pires/MG,4255.0,322
Bueno Brandão/MG,10982.0,1005
Buenos Aires/PE,13224.0,396
Buenópolis/MG,10342.0,305
Buerarema/BA,18269.0,1411
Bugre/MG,3984.0,373
Bujari/AC,10572.0,1140
Bujaru/PA,29717.0,1461
Buri/SP,20050.0,2657
Buritama/SP,17414.0,2700
Buriti Alegre/GO,9515.0,1188
Buriti Bravo/MA,23993.0,1782
Buriti de Goiás/GO,2464.0,322
Buriti do Tocantins/TO,11644.0,1179
Buriti dos Lopes/PI,19832.0,1348
Buriti dos Montes/PI,8282.0,718
Buriti/MA,28916.0,931
Buriticupu/MA,73595.0,3856
Buritinópolis/GO,3272.0,218
