#city,population,cases
Dillingham Census Area-Alaska,4833,85508
Dillon-South Carolina,30367,1478076
Dimmit-Texas,9925,707944
Dinwiddie-Virginia,28688,678689
Divide-North Dakota,2277,60996
Dixie-Florida,17057,644148
Dixon-Nebraska,5596,215358
Doddridge-West Virginia,8368,185541
Dodge-Georgia,20452,787468
Dodge-Minnesota,20987,602002
Dodge-Nebraska,36222,1717071
Dodge-Wisconsin,87336,4415602
Dolores-Colorado,2096,32053
Doniphan-Kansas,7496,339145
Donley-Texas,3308,133166
Dooly-Georgia,13174,401589
Door-Wisconsin,27889,946515
Dorchester-Maryland,31853,913667
Dorchester-South Carolina,165737,6231911
Dougherty-Georgia,86477,3037004
Douglas-Colorado,360750,9062902
Douglas-Georgia,147988,5200534
Douglas-Illinois,19510,852438
Douglas-Kansas,122530,3173373
Douglas-Minnesota,38328,1486930
Douglas-Missouri,13344,343935
Douglas-Nebraska,574332,24531087
Douglas-Nevada,49088,959441
Douglas-Oregon,111364,1369483
Douglas-South Dakota,2906,153900
Douglas-Washington,43560,1358360
Douglas-Wisconsin,43702,1533373
Doña Ana-New Mexico,221262,8267915
Drew-Arkansas,17977,696248
DuPage-Illinois,917481,30256379
Dubois-Indiana,42542,2087601
Dubuque-Iowa,97590,4644867
Duchesne-Utah,19894,460726
Dukes-Massachusetts,17461,385110
Dundy-Nebraska,1671,56478
Dunklin-Missouri,28878,1034892
Dunn-North Dakota,4465,145483
Dunn-Wisconsin,45452,1660532
