ID,LATITUDE,LONGITUDE,Mun/UF,MUNICIPIO,UF,Valor
1880,-17.07,-41.52,PADRE PARAISO - MG,PADRE PARAISO,MG,104180.079709679
1881,-15.51,-43.06,PAI PEDRO - MG,PAI PEDRO,MG,31942.1823179905
1882,-18.9,-45.53,PAINEIRAS - MG,PAINEIRAS,MG,31171.7195155143
1883,-20.37,-45.66,PAINS - MG,PAINS,MG,61995.2292855207
1884,-21.28,-43.41,PAIVA - MG,PAIVA,MG,10022.4563190513
1885,-21.37,-42.31,PALMA - MG,PALMA,MG,47465.6717747349
1886,-16.73,-40.42,PALMOPOLIS - MG,PALMOPOLIS,MG,51267.5592516945
1887,-19.44,-44.74,PAPAGAIOS - MG,PAPAGAIOS,MG,87456.6558919206
1888,-19.86,-44.6,PARA DE MINAS - MG,PARA DE MINAS,MG,454557.480662134
1889,-17.22,-46.87,PARACATU - MG,PARACATU,MG,433278.982260662
1890,-21.54,-45.73,PARAGUACU - MG,PARAGUACU,MG,112119.736760528
1891,-22.55,-45.78,PARAISOPOLIS - MG,PARAISOPOLIS,MG,101054.162641835
1892,-19.27,-44.4,PARAOPEBA - MG,PARAOPEBA,MG,130111.682717041
1893,-22.39,-44.96,PASSA QUATRO - MG,PASSA QUATRO,MG,96269.3272858321
1894,-20.65,-44.49,PASSA TEMPO - MG,PASSA TEMPO,MG,53129.4928468098
1895,-22.2,-44.23,PASSA VINTE - MG,PASSA VINTE,MG,14337.7023106978
1896,-19.35,-43.13,PASSABEM - MG,PASSABEM,MG,11815.5013021999
1897,-20.71,-46.61,PASSOS - MG,PASSOS,MG,592070.178727141
1898,-16.07,-44.08,PATIS - MG,PATIS,MG,29958.8546654683
1899,-18.57,-46.51,PATOS DE MINAS - MG,PATOS DE MINAS,MG,761008.439667825
1900,-18.94,-46.99,PATROCINIO - MG,PATROCINIO,MG,475822.118434537
1901,-21.15,-42.21,PATROCINIO DO MURIAE - MG,PATROCINIO DO MURIAE,MG,32279.1711451199
1902,-20.87,-42.98,PAULA CANDIDO - MG,PAULA CANDIDO,MG,53650.7282632
1903,-18.42,-42.86,PAULISTAS - MG,PAULISTAS,MG,34559.3409674311
1904,-17.42,-40.99,PAVAO - MG,PAVAO,MG,84522.2738156042
1905,-18.54,-42.55,PECANHA - MG,PECANHA,MG,110628.496207653
1906,-16,-41.29,PEDRA AZUL - MG,PEDRA AZUL,MG,153861.686949173
1907,-20.52,-42.33,PEDRA BONITA - MG,PEDRA BONITA,MG,33848.9132939018
1908,-20.59,-42.71,PEDRA DO ANTA - MG,PEDRA DO ANTA,MG,26550.3936215768
1909,-20.25,-45.2,PEDRA DO INDAIA - MG,PEDRA DO INDAIA,MG,24915.7068100625
1910,-20.83,-42.15,PEDRA DOURADA - MG,PEDRA DOURADA,MG,10945.0696530729
1911,-22.24,-45.46,PEDRALVA - MG,PEDRALVA,MG,76789.9033141377
1912,-15.6,-44.39,PEDRAS DE MARIA DA CRUZ - MG,PEDRAS DE MARIA DA CRUZ,MG,51701.9521606061
1913,-19.22,-47.46,PEDRINOPOLIS - MG,PEDRINOPOLIS,MG,33407.2837817793
1914,-19.61,-44.04,PEDRO LEOPOLDO - MG,PEDRO LEOPOLDO,MG,309946.405115942
1915,-21.7,-43.74,PEDRO TEIXEIRA - MG,PEDRO TEIXEIRA,MG,10704.9480721736
1916,-21.83,-43.12,PEQUERI - MG,PEQUERI,MG,17934.4964770125
1917,-19.63,-44.65,PEQUI - MG,PEQUI,MG,21264.7567860454
1918,-19.95,-45.08,PERDIGAO - MG,PERDIGAO,MG,32903.1600287842
1919,-19.35,-47.29,PERDIZES - MG,PERDIZES,MG,66618.2521064936
1920,-21.09,-45.09,PERDOES - MG,PERDOES,MG,119524.249225553
1921,-19.15,-42.23,PERIQUITO - MG,PERIQUITO,MG,46738.9759350293
1922,-18.35,-41.59,PESCADOR - MG,PESCADOR,MG,27531.8340736775
1923,-21.5,-43.32,PIAU - MG,PIAU,MG,19921.0416918002
1924,-19.75,-42.07,PIEDADE DE CARATINGA - MG,PIEDADE DE CARATINGA,MG,30419.6578562
1925,-20.24,-42.73,PIEDADE DE PONTE NOVA - MG,PIEDADE DE PONTE NOVA,MG,28384.5498717456
1926,-21.46,-44.19,PIEDADE DO RIO GRANDE - MG,PIEDADE DO RIO GRANDE,MG,32876.1287906916
1927,-20.47,-44.22,PIEDADE DOS GERAIS - MG,PIEDADE DOS GERAIS,MG,27086.961316524
1928,-20.48,-45.79,PIMENTA - MG,PIMENTA,MG,50484.2454890797
1929,-19.72,-42.4,PINGO D'AGUA - MG,PINGO D'AGUA,MG,22457.790166694
1930,-16.05,-45.15,PINTOPOLIS - MG,PINTOPOLIS,MG,38796.0879681614
1931,-20.5,-44.48,PIRACEMA - MG,PIRACEMA,MG,38990.7720384912
1932,-19.9,-48.7,PIRAJUBA - MG,PIRAJUBA,MG,19071.9824998732
1933,-20.68,-43.3,PIRANGA - MG,PIRANGA,MG,111556.550296121
1934,-22.52,-45.49,PIRANGUCU - MG,PIRANGUCU,MG,31703.9059738083
1935,-22.4,-45.53,PIRANGUINHO - MG,PIRANGUINHO,MG,41126.9696175288
1936,-21.65,-42.34,PIRAPETINGA - MG,PIRAPETINGA,MG,67140.6313864893
1937,-17.34,-44.94,PIRAPORA - MG,PIRAPORA,MG,319742.806540805
1938,-21.27,-43.02,PIRAUBA - MG,PIRAUBA,MG,65074.3032074629
1939,-19.68,-44.89,PITANGUI - MG,PITANGUI,MG,134603.024230855
1940,-20.46,-45.95,PIUI - MG,PIUI,MG,177478.676182111
1941,-20.13,-48.7,PLANURA - MG,PLANURA,MG,52029.245731381
1942,-21.78,-45.96,POCO FUNDO - MG,POCO FUNDO,MG,89959.1498852919
1943,-21.78,-46.56,POCOS DE CALDAS - MG,POCOS DE CALDAS,MG,823604.081635762
1944,-19.62,-41.63,POCRANE - MG,POCRANE,MG,66823.145683604
1945,-19.22,-44.93,POMPEU - MG,POMPEU,MG,146090.425812025
1946,-20.41,-42.9,PONTE NOVA - MG,PONTE NOVA,MG,372552.080265085
1947,-16.63,-45.06,PONTO CHIQUE - MG,PONTO CHIQUE,MG,18246.4743699678
1948,-16.75,-41.5,PONTO DOS VOLANTES - MG,PONTO DOS VOLANTES,MG,57430.553416913
1949,-15.74,-43.02,PORTEIRINHA - MG,PORTEIRINHA,MG,220106.204860919
1950,-20.67,-43.08,PORTO FIRME - MG,PORTO FIRME,MG,62161.0371601531
1951,-17.8,-41.78,POTE - MG,POTE,MG,101161.562078065
1952,-22.23,-45.93,POUSO ALEGRE - MG,POUSO ALEGRE,MG,581067.033567547
1953,-22.19,-44.97,POUSO ALTO - MG,POUSO ALTO,MG,41345.1853456024
1954,-21.05,-44.08,PRADOS - MG,PRADOS,MG,50172.8250287593
1955,-19.3,-48.92,PRATA - MG,PRATA,MG,128227.705561605
1956,-20.74,-46.86,PRATAPOLIS - MG,PRATAPOLIS,MG,60503.8255898695
1957,-19.75,-46.37,PRATINHA - MG,PRATINHA,MG,18411.512222948
1958,-20.76,-43.18,PRESIDENTE BERNARDES - MG,PRESIDENTE BERNARDES,MG,33880.3394023663
1959,-18.63,-44.05,PRESIDENTE JUSCELINO - MG,PRESIDENTE JUSCELINO,MG,27922.3251651813
1960,-18.61,-43.56,PRESIDENTE KUBITSCHEK - MG,PRESIDENTE KUBITSCHEK,MG,16009.2744222137
1961,-18.41,-46.41,PRESIDENTE OLEGARIO - MG,PRESIDENTE OLEGARIO,MG,116339.119616724
1962,-19.48,-44.15,PRUDENTE DE MORAIS - MG,PRUDENTE DE MORAIS,MG,51773.8486603995
1963,-19.27,-45.55,QUARTEL GERAL - MG,QUARTEL GERAL,MG,20452.3119535756
1964,-20.74,-43.88,QUELUZITA - MG,QUELUZITA,MG,11672.9923080783
1965,-19.96,-43.8,RAPOSOS - MG,RAPOSOS,MG,91008.4825423625
1966,-20.1,-42.45,RAUL SOARES - MG,RAUL SOARES,MG,154597.811572607
1967,-21.52,-42.46,RECREIO - MG,RECREIO,MG,70808.8763699894
1968,-20.21,-41.98,REDUTO - MG,REDUTO,MG,31514.0006188876
1969,-20.92,-44.23,RESENDE COSTA - MG,RESENDE COSTA,MG,65178.6209113087
1970,-19.32,-41.25,RESPLENDOR - MG,RESPLENDOR,MG,113398.880171928
1971,-21.06,-43.76,RESSAQUINHA - MG,RESSAQUINHA,MG,29619.3748215915
1972,-16.23,-45.99,RIACHINHO - MG,RIACHINHO,MG,47809.9625237314
1973,-16,-43.04,RIACHO DOS MACHADOS - MG,RIACHO DOS MACHADOS,MG,64416.3277690027
1974,-19.76,-44.08,RIBEIRAO DAS NEVES - MG,RIBEIRAO DAS NEVES,MG,1312394.54206078
1975,-21.19,-45.06,RIBEIRAO VERMELHO - MG,RIBEIRAO VERMELHO,MG,24465.7066194245
1976,-20.08,-43.78,RIO ACIMA - MG,RIO ACIMA,MG,50200.8656531711
1977,-20.22,-42.65,RIO CASCA - MG,RIO CASCA,MG,102614.636103068
