#county,population,cases
Shelby-Illinois,21299,3396
Shelby-Indiana,44871,8090
Shelby-Iowa,11430,1743
Shelby-Kentucky,49611,6844
Shelby-Missouri,5919,909
Shelby-Ohio,48337,6318
Shelby-Tennessee,936017,144149
Shelby-Texas,24915,2904
Shenandoah-Virginia,43905,6120
Sherburne-Minnesota,98811,15089
Sheridan-Kansas,2520,484
Sheridan-Montana,3261,491
Sheridan-Nebraska,5150,718
Sheridan-North Dakota,1275,146
Sheridan-Wyoming,30863,4940
Sherman-Kansas,5777,767
Sherman-Nebraska,2986,332
Sherman-Oregon,1801,145
Sherman-Texas,3027,293
Shiawassee-Michigan,67738,8238
Shoshone-Idaho,12911,1813
Sibley-Minnesota,14715,2026
Sierra-California,2920,169
Sierra-New Mexico,10867,1010
Silver Bow-Montana,35180,5432
Simpson-Kentucky,18635,3131
Simpson-Mississippi,26629,4413
Sioux-Iowa,35043,5602
Sioux-Nebraska,1200,52
Sioux-North Dakota,4173,843
Siskiyou-California,43245,4557
Sitka City and Borough-Alaska,8405,1129
Skagit-Washington,130789,10183
Skagway Municipality-Alaska,1179,70
Skamania-Washington,12107,706
Slope-North Dakota,747,41
Smith-Kansas,3544,379
Smith-Mississippi,15779,2622
Smith-Tennessee,20285,4131
Smith-Texas,235806,35848
Smyth-Virginia,30090,4624
Snohomish-Washington,830393,61717
Snyder-Pennsylvania,40317,4535
Socorro-New Mexico,16541,1651
Solano-California,446935,45686
Somerset-Maine,50635,3880
Somerset-Maryland,25453,3242
Somerset-New Jersey,329331,34440
Somerset-Pennsylvania,72916,10089
Somervell-Texas,9139,1443
Sonoma-California,489819,40613
Southampton-Virginia,17636,2349
Southeast Fairbanks Census Area-Alaska,6957,1110
Spalding-Georgia,67414,10187
Spartanburg-South Carolina,326205,60639
Spencer-Indiana,20225,3354
Spencer-Kentucky,19585,2790
Spink-South Dakota,6319,999
Spokane-Washington,528225,69097
Spotsylvania-Virginia,138449,14482
St. Bernard-Louisiana,47647,6840
St. Charles-Louisiana,52987,8800
St. Charles-Missouri,406204,60716
St. Clair-Alabama,90739,15872
St. Clair-Illinois,258046,39988
St. Clair-Michigan,159293,21517
St. Clair-Missouri,9689,1241
St. Croix-Wisconsin,91838,12386
St. Francis-Arkansas,24682,4752
St. Francois-Missouri,66485,11837
St. Helena-Louisiana,10081,1259
St. James-Louisiana,20727,3433
St. John the Baptist-Louisiana,42516,6259
St. Johns-Florida,278715,40071
St. Joseph-Indiana,271484,43811
St. Joseph-Michigan,60848,7993
St. Landry-Louisiana,81440,13882
St. Lawrence-New York,107185,10041
St. Louis-Minnesota,198538,22965
St. Louis-Missouri,994020,127275
St. Louis city-Missouri,297645,31999
St. Lucie-Florida,337186,47161
St. Martin-Louisiana,52954,8308
St. Mary-Louisiana,48330,8482
St. Mary's-Maryland,114687,9317
St. Tammany-Louisiana,263446,43151
Stafford-Kansas,4046,555
Stafford-Virginia,156748,15499
Stanislaus-California,550081,84709
Stanley-South Dakota,3121,410
Stanly-North Carolina,63239,11375
Stanton-Kansas,1969,270
Stanton-Nebraska,5880,464
Stark-Illinois,5262,805
Stark-North Dakota,32107,7163
Stark-Ohio,369772,45293
Starke-Indiana,23049,3093
Starr-Texas,64266,11493
Staunton city-Virginia,25190,3301
Ste. Genevieve-Missouri,17924,2343
Stearns-Minnesota,162038,27701
Steele-Minnesota,36596,5669
Steele-North Dakota,1890,244
Stephens-Georgia,26107,4713
Stephens-Oklahoma,43100,7364
Stephens-Texas,9334,1141
Stephenson-Illinois,43831,5750
Sterling-Texas,1315,163
Steuben-Indiana,34831,5452
Steuben-New York,94657,9672
Stevens-Kansas,5388,726
Stevens-Minnesota,9765,1195
Stevens-Washington,46360,4701
Stewart-Georgia,6689,1511
Stewart-Tennessee,13859,2101
Stillwater-Montana,9888,1039
Stoddard-Missouri,29001,4263
Stokes-North Carolina,45743,5999
Stone-Arkansas,12674,1675
Stone-Mississippi,18360,3578
Stone-Missouri,32465,3902
Stonewall-Texas,1348,214
Storey-Nevada,4207,201
Story-Iowa,98237,12754
Strafford-New Hampshire,131533,12689
Stutsman-North Dakota,20498,4237
Sublette-Wyoming,9856,1305
Suffolk-Massachusetts,801582,105889
Suffolk-New York,1474273,236630
Suffolk city-Virginia,93913,10645
Sullivan-Indiana,20578,3257
Sullivan-Missouri,6033,1165
Sullivan-New Hampshire,43267,2992
Sullivan-New York,75802,8266
Sullivan-Pennsylvania,5913,566
Sullivan-Tennessee,158755,26162
Sully-South Dakota,1391,152
Summers-West Virginia,12444,1359
Summit-Colorado,30631,4665
Summit-Ohio,538866,60299
Summit-Utah,42499,6600
Sumner-Kansas,22578,3133
Sumner-Tennessee,195561,33735
Sumter-Alabama,12225,1302
Sumter-Florida,139018,14278
Sumter-Georgia,29282,4094
Sumter-South Carolina,106360,15778
Sunflower-Mississippi,24740,4214
Surry-North Carolina,71683,11982
Surry-Virginia,6385,590
Susquehanna-Pennsylvania,40006,3429
Sussex-Delaware,241635,34103
Sussex-New Jersey,140002,16714
Sussex-Virginia,10925,1534
Sutter-California,96385,13721
Sutton-Texas,3738,608
Suwannee-Florida,44851,9115
Swain-North Carolina,14179,1927
Sweet Grass-Montana,3684,521
Sweetwater-Wyoming,42673,7210
Swift-Minnesota,9176,1318
Swisher-Texas,7340,1467
Switzerland-Indiana,10724,1331
Talbot-Georgia,6143,726
Talbot-Maryland,36972,2744
Taliaferro-Georgia,1562,166
Talladega-Alabama,79985,13633
Tallahatchie-Mississippi,13707,2250
Tallapoosa-Alabama,40133,6998
Tama-Iowa,16801,2614
Taney-Missouri,56104,8916
Tangipahoa-Louisiana,136765,22537
Taos-New Mexico,32593,2294
Tarrant-Texas,2123347,354725
Tate-Mississippi,28539,4534
Tattnall-Georgia,25365,3776
Taylor-Florida,21600,4541
Taylor-Georgia,8074,1259
Taylor-Iowa,6092,786
Taylor-Kentucky,25707,5504
Taylor-Texas,139200,22461
Taylor-West Virginia,16699,2090
Taylor-Wisconsin,20318,2867
Tazewell-Illinois,130777,20488
Tazewell-Virginia,40529,5516
Tehama-California,64494,9156
Telfair-Georgia,15781,2217
Teller-Colorado,25529,2662
Tensas-Louisiana,4178,510
Terrebonne-Louisiana,109859,19221
Terrell-Georgia,8523,1209
Terrell-Texas,702,106
Terry-Texas,12183,2050
Teton-Idaho,12501,1575
Teton-Montana,6249,768
Teton-Wyoming,23497,5018
Texas-Missouri,25112,2936
Texas-Oklahoma,19997,3998
Thayer-Nebraska,4887,677
Thomas-Georgia,44372,7706
Thomas-Kansas,7702,1336
Thomas-Nebraska,739,65
Throckmorton-Texas,1487,117
Thurston-Nebraska,7220,1012
Thurston-Washington,294074,19275
Tift-Georgia,40719,8274
Tillamook-Oregon,27442,1922
Tillman-Oklahoma,7229,972
Tioga-New York,47904,4871
Tioga-Pennsylvania,40381,4210
Tippah-Mississippi,21748,4646
Tippecanoe-Indiana,196115,27597
Tipton-Indiana,15227,2249
Tipton-Tennessee,61918,11207
Tishomingo-Mississippi,19275,3554
Titus-Texas,32926,5663
Todd-Kentucky,12448,1662
Todd-Minnesota,24732,3807
Todd-South Dakota,10313,1515
Tolland-Connecticut,150600,11094
Tom Green-Texas,120010,24682
Tompkins-New York,101058,6353
Tooele-Utah,74512,11183
Toole-Montana,4686,939
Toombs-Georgia,26973,5367
Torrance-New Mexico,15486,1689
Towner-North Dakota,2108,376
Towns-Georgia,12247,1759
Traill-North Dakota,7959,1233
Transylvania-North Carolina,34498,3828
Traverse-Minnesota,3218,494
Travis-Texas,1300503,117397
Treasure-Montana,695,80
Trego-Kansas,2758,474
Trempealeau-Wisconsin,29681,4786
Treutlen-Georgia,6822,1226
Trigg-Kentucky,14776,1961
Trimble-Kentucky,8481,1152
Trinity-California,12216,854
Trinity-Texas,14883,1540
Tripp-South Dakota,5377,834
Troup-Georgia,70214,10769
Trousdale-Tennessee,11455,3128
Trumbull-Ohio,196800,22161
Tucker-West Virginia,6816,1026
Tulare-California,468680,78346
Tulsa-Oklahoma,657589,105510
Tunica-Mississippi,9392,1584
Tuolumne-California,54515,6842
Turner-Georgia,7882,1685
Turner-South Dakota,8368,1306
Tuscaloosa-Alabama,210758,34820
Tuscarawas-Ohio,91776,12257
Tuscola-Michigan,52289,7053
Twiggs-Georgia,8103,1070
Twin Falls-Idaho,88411,15148
Tyler-Texas,21591,2426
Tyler-West Virginia,8533,1327
Tyrrell-North Carolina,3774,538
Uinta-Wyoming,20215,3702
Uintah-Utah,35970,4794
Ulster-New York,177716,17043
Umatilla-Oregon,77752,14139
Unicoi-Tennessee,17755,3088
Union-Arkansas,38219,5651
Union-Florida,15182,3049
Union-Georgia,25358,3504
Union-Illinois,16498,3040
Union-Indiana,7119,1087
Union-Iowa,12157,1595
Union-Kentucky,14443,2454
Union-Louisiana,22170,3938
Union-Mississippi,28866,5937
Union-New Jersey,555394,79332
Union-New Mexico,4026,508
Union-North Carolina,244562,35502
Union-Ohio,60021,8017
Union-Oregon,26551,3106
Union-Pennsylvania,44294,7110
Union-South Carolina,26991,4387
Union-South Dakota,16192,2561
Union-Tennessee,20187,3010
Upshur-Texas,42166,5730
Upshur-West Virginia,24230,3755
Upson-Georgia,26527,5377
Upton-Texas,3623,594
Uvalde-Texas,26742,6253
Val Verde-Texas,49028,10521
Valdez-Cordova Census Area-Alaska,9346,1524
Valencia-New Mexico,77574,9191
Valley-Idaho,11792,1383
Valley-Montana,7359,1165
Valley-Nebraska,4103,456
Van Buren-Arkansas,16541,2162
Van Buren-Iowa,7069,827
Van Buren-Michigan,75474,8867
Van Buren-Tennessee,5947,1208
Van Wert-Ohio,28159,3566
Van Zandt-Texas,57533,7814
Vance-North Carolina,44718,6584
Vanderburgh-Indiana,182447,31861
Venango-Pennsylvania,50328,5813
Ventura-California,841387,100337
Vermilion-Illinois,74855,14093
Vermilion-Louisiana,59378,10074
Vermillion-Indiana,15329,2528
Vernon-Louisiana,47894,6164
Vernon-Missouri,20388,2941
Vernon-Wisconsin,30861,2766
Victoria-Texas,91936,13003
Vigo-Indiana,106608,17166
Vilas-Wisconsin,22356,2962
Vinton-Ohio,12972,1586
Virginia Beach city-Virginia,451231,48764
Volusia-Florida,561497,74234
Wabash-Illinois,11190,2158
Wabash-Indiana,30784,5214
Wabasha-Minnesota,21642,2792
Wabaunsee-Kansas,6906,890
Wadena-Minnesota,13807,2260
Wagoner-Oklahoma,82925,12429
Wahkiakum-Washington,4498,266
Wake-North Carolina,1132271,128204
Wakulla-Florida,34319,6326
Waldo-Maine,39923,2216
Walker-Alabama,63143,11043
Walker-Georgia,70116,11071
Walker-Texas,72164,11730
Walla Walla-Washington,61292,8667
Wallace-Kansas,1536,228
Waller-Texas,57452,6359
Wallowa-Oregon,7181,661
Walsh-North Dakota,10437,2187
Walthall-Mississippi,14294,2174
Walton-Florida,76648,11768
Walton-Georgia,96875,14953
Walworth-South Dakota,5336,881
Walworth-Wisconsin,103953,15289
Wapello-Iowa,34985,5815
Ward-North Dakota,68466,12420
Ward-Texas,12097,1853
Ware-Georgia,35826,7446
Warren-Georgia,5232,762
Warren-Illinois,16696,2417
Warren-Indiana,8194,1193
Warren-Iowa,52265,7638
Warren-Kentucky,134510,25192
Warren-Mississippi,44841,6632
Warren-Missouri,36594,4920
Warren-New Jersey,105624,11790
Warren-New York,63756,5245
Warren-North Carolina,19522,2314
Warren-Ohio,238412,32071
Warren-Pennsylvania,38911,3649
Warren-Tennessee,41605,8460
Warren-Virginia,40475,4770
Warrick-Indiana,63269,11184
Wasatch-Utah,35300,5844
Wasco-Oregon,26403,2773
Waseca-Minnesota,18550,3210
Washakie-Wyoming,7760,1558
Washburn-Wisconsin,15712,2108
Washington-Alabama,15976,2507
Washington-Arkansas,243216,44004
Washington-Colorado,4875,589
Washington-Florida,25932,4520
Washington-Georgia,20150,3189
Washington-Idaho,10360,1769
Washington-Illinois,13764,2111
Washington-Indiana,28213,3499
Washington-Iowa,21992,3624
Washington-Kansas,5427,760
Washington-Kentucky,12147,2278
Washington-Louisiana,45773,7895
Washington-Maine,31473,1630
Washington-Maryland,151146,18713
Washington-Minnesota,265476,32937
Washington-Mississippi,42837,7353
Washington-Missouri,24604,3875
Washington-Nebraska,20901,2707
Washington-New York,60606,4427
Washington-North Carolina,11485,1553
Washington-Ohio,59652,7955
Washington-Oklahoma,52222,8310
Washington-Oregon,603514,37818
Washington-Pennsylvania,206803,24195
Washington-Rhode Island,125746,13746
Washington-Tennessee,130367,21270
Washington-Texas,35771,5661
Washington-Utah,184913,27999
Washington-Vermont,58328,3263
Washington-Virginia,53695,7297
Washington-Wisconsin,136445,21726
Washita-Oklahoma,10830,1454
Washoe-Nevada,477082,63260
Washtenaw-Michigan,366473,32656
Watauga-North Carolina,56441,6431
Watonwan-Minnesota,10792,1681
Waukesha-Wisconsin,406172,60947
Waupaca-Wisconsin,50664,7888
Waushara-Wisconsin,24326,3532
Wayne-Georgia,30023,5775
Wayne-Illinois,16031,2978
Wayne-Indiana,65778,11154
Wayne-Iowa,6415,720
Wayne-Kentucky,20209,3441
Wayne-Michigan,1740623,192783
Wayne-Mississippi,20317,4381
Wayne-Missouri,12769,1548
Wayne-Nebraska,9492,1200
Wayne-New York,89339,7827
Wayne-North Carolina,123967,15542
Wayne-Ohio,115694,13366
Wayne-Pennsylvania,51163,5413
Wayne-Tennessee,16524,3996
Wayne-Utah,2759,234
Wayne-West Virginia,39054,5450
Waynesboro city-Virginia,22741,3395
Weakley-Tennessee,33334,6184
Webb-Texas,277681,56386
Weber-Utah,262658,40282
Webster-Georgia,2595,251
Webster-Iowa,35934,6877
Webster-Kentucky,12923,2424
Webster-Louisiana,37943,6472
Webster-Mississippi,9676,2015
Webster-Missouri,39859,5662
Webster-Nebraska,3419,471
Webster-West Virginia,8058,1065
Weld-Colorado,333983,44051
Wells-Indiana,28142,4167
Wells-North Dakota,3709,554
West Baton Rouge-Louisiana,26792,4355
West Carroll-Louisiana,10646,1925
West Feliciana-Louisiana,15465,1507
Westchester-New York,965802,143014
Westmoreland-Pennsylvania,347087,42784
Westmoreland-Virginia,18149,1763
Weston-Wyoming,6743,970
Wetzel-West Virginia,14904,2421
Wexford-Michigan,33743,3433
Wharton-Texas,41685,6133
Whatcom-Washington,231016,15441
Wheatland-Montana,2157,248
Wheeler-Georgia,7751,945
Wheeler-Nebraska,790,70
Wheeler-Oregon,1387,94
Wheeler-Texas,4946,744
White-Arkansas,78729,12980
White-Georgia,31094,4794
White-Illinois,13364,2768
White-Indiana,24165,4117
White-Tennessee,27707,5528
White Pine-Nevada,9466,1257
Whiteside-Illinois,54656,8321
Whitfield-Georgia,103837,22263
Whitley-Indiana,34378,5542
Whitley-Kentucky,36451,8605
Whitman-Washington,49500,5695
Wibaux-Montana,939,161
Wichita-Kansas,2074,266
Wichita-Texas,133205,21447
Wicomico-Maryland,103990,10659
Wilbarger-Texas,12552,2260
Wilcox-Alabama,10206,1664
Wilcox-Georgia,8502,1269
Wilkes-Georgia,9694,1527
Wilkes-North Carolina,68043,10350
Wilkin-Minnesota,6161,988
Wilkinson-Georgia,8812,1490
Wilkinson-Mississippi,8351,1037
Will-Illinois,688726,90407
Willacy-Texas,21161,4613
Williams-North Dakota,38700,6485
Williams-Ohio,36565,5081
Williamsburg-South Carolina,29825,5594
Williamsburg city-Virginia,15259,1116
Williamson-Illinois,66415,11962
Williamson-Tennessee,245348,39106
Williamson-Texas,617855,74686
Wilson-Kansas,8362,1462
Wilson-North Carolina,81979,12944
Wilson-Tennessee,148130,26715
Wilson-Texas,52023,7387
Winchester city-Virginia,27700,3654
Windham-Connecticut,116540,12900
Windham-Vermont,42015,2103
Windsor-Vermont,54988,2474
Winkler-Texas,7887,1146
Winn-Louisiana,13839,2601
Winnebago-Illinois,281295,40592
Winnebago-Iowa,10277,1856
Winnebago-Wisconsin,171631,26589
Winneshiek-Iowa,19862,2310
Winona-Minnesota,50485,5992
Winston-Alabama,23508,4440
Winston-Mississippi,17845,3126
Wirt-West Virginia,5705,793
Wise-Texas,71084,10980
Wise-Virginia,37206,4996
Wolfe-Kentucky,7106,1161
Wood-Ohio,131113,17016
Wood-Texas,46291,6362
Wood-West Virginia,82938,12499
Wood-Wisconsin,72560,10205
Woodbury-Iowa,103138,18878
Woodford-Illinois,38091,5711
Woodford-Kentucky,26765,3299
Woodruff-Arkansas,6264,1079
Woods-Oklahoma,8687,1599
Woodson-Kansas,3015,387
Woodward-Oklahoma,19812,3681
Worcester-Maryland,52403,4864
Worcester-Massachusetts,829212,92789
Worth-Georgia,19972,3046
Worth-Iowa,7359,1068
Worth-Missouri,1953,218
Wrangell City and Borough-Alaska,2510,138
Wright-Iowa,12416,2410
Wright-Minnesota,140249,20676
Wright-Missouri,18325,2521
Wyandot-Ohio,21711,3123
Wyandotte-Kansas,165265,27613
Wyoming-New York,39465,4276
Wyoming-Pennsylvania,26557,2624
Wyoming-West Virginia,20123,3452
Wythe-Virginia,28620,4315
Yadkin-North Carolina,37625,5858
Yakima-Washington,251879,43525
Yakutat plus Hoonah-Angoon-Alaska,2778,222
Yalobusha-Mississippi,11982,2323
Yamhill-Oregon,107664,8461
Yancey-North Carolina,18099,2743
Yankton-South Dakota,22742,3530
Yates-New York,24780,1528
Yavapai-Arizona,240226,27020
Yazoo-Mississippi,26982,4367
Yell-Arkansas,21181,4590
Yellow Medicine-Minnesota,9580,1470
Yellowstone-Montana,162990,26174
Yoakum-Texas,8702,1173
Yolo-California,219728,20028
York-Maine,209066,17080
York-Nebraska,13511,2291
York-Pennsylvania,450448,59160
York-South Carolina,289105,45926
York-Virginia,69199,5287
Young-Texas,17904,2786
Yuba-California,80160,10284
Yukon-Koyukuk Census Area-Alaska,5077,654
Yuma-Arizona,217824,41100
Yuma-Colorado,10047,1165
Zapata-Texas,14172,2195
Zavala-Texas,11840,2501
Ziebach-South Dakota,2656,382
