#municipalities,population,cases
Santa Cruz do Sul/RS,132271,20719
Santa Cruz do Xingu/MT,2700,455
Santa Cruz dos Milagres/PI,4046,288
Santa Cruz/PB,6579,466
Santa Cruz/PE,15713,984
Santa Cruz/RN,40295,5272
Santa Efigênia de Minas/MG,4354,424
Santa Ernestina/SP,5577,559
Santa Filomena do Maranhão/MA,7878,51
Santa Filomena/PE,14645,557
Santa Filomena/PI,6256,129
Santa Fé de Goiás/GO,5585,1050
Santa Fé de Minas/MG,3806,246
Santa Fé do Araguaia/TO,7678,842
Santa Fé do Sul/SP,32796,5065
Santa Fé/PR,12330,984
Santa Gertrudes/SP,27850,3911
Santa Helena de Goiás/GO,38962,4601
Santa Helena de Minas/MG,6406,519
Santa Helena/MA,42829,2244
Santa Helena/PB,5853,650
Santa Helena/PR,27036,3733
Santa Helena/SC,2178,214
Santa Inês/BA,10583,685
Santa Inês/MA,89927,9161
Santa Inês/PB,3591,134
Santa Inês/PR,1568,178
Santa Isabel do Ivaí/PR,8484,1513
Santa Isabel do Rio Negro/AM,26566,2751
Santa Isabel/GO,3821,557
Santa Isabel/SP,58529,6294
Santa Izabel do Oeste/PR,14924,1269
Santa Izabel do Pará/PA,72856,2209
Santa Juliana/MG,14497,1266
Santa Leopoldina/ES,12171,1232
Santa Luz/PI,5903,228
Santa Luzia D'Oeste/RO,5942,1023
Santa Luzia do Itanhy/SE,14205,735
Santa Luzia do Norte/AL,7344,508
Santa Luzia do Paruá/MA,25487,1311
Santa Luzia do Pará/PA,19839,1641
Santa Luzia/BA,12308,1181
Santa Luzia/MA,73105,5876
Santa Luzia/MG,221705,8828
Santa Luzia/PB,15470,2523
Santa Lúcia/PR,3795,262
Santa Lúcia/SP,8889,718
Santa Margarida do Sul/RS,2593,231
Santa Margarida/MG,16393,1274
Santa Maria Madalena/RJ,10380,274
Santa Maria da Boa Vista/PE,42266,1262
Santa Maria da Serra/SP,6298,839
Santa Maria da Vitória/BA,39707,3157
Santa Maria das Barreiras/PA,22244,981
Santa Maria de Itabira/MG,10867,1052
Santa Maria de Jetibá/ES,41588,6476
Santa Maria do Cambucá/PE,14308,697
Santa Maria do Herval/RS,6382,673
Santa Maria do Oeste/PR,9210,875
Santa Maria do Pará/PA,25127,1776
Santa Maria do Salto/MG,5203,626
Santa Maria do Suaçuí/MG,14607,1021
Santa Maria do Tocantins/TO,3537,448
Santa Maria/RN,5689,418
Santa Maria/RS,285159,40784
Santa Mariana/PR,11523,1443
Santa Mercedes/SP,2947,280
Santa Mônica/PR,4052,379
Santa Quitéria do Maranhão/MA,25884,510
Santa Quitéria/CE,43719,5396
Santa Rita d'Oeste/SP,2476,299
Santa Rita de Caldas/MG,8900,925
Santa Rita de Cássia/BA,28613,2722
Santa Rita de Ibitipoca/MG,3380,101
Santa Rita de Jacutinga/MG,4843,326
Santa Rita de Minas/MG,7322,806
Santa Rita do Araguaia/GO,9110,536
Santa Rita do Itueto/MG,5426,913
Santa Rita do Novo Destino/GO,3367,199
Santa Rita do Pardo/MS,7948,644
Santa Rita do Passa Quatro/SP,27641,1759
Santa Rita do Sapucaí/MG,44226,4414
Santa Rita do Tocantins/TO,2407,338
Santa Rita do Trivelato/MT,3602,213
Santa Rita/MA,38732,857
Santa Rita/PB,138093,9557
Santa Rosa da Serra/MG,3364,261
Santa Rosa de Goiás/GO,2200,454
Santa Rosa de Lima/SC,2151,321
Santa Rosa de Lima/SE,3933,364
Santa Rosa de Viterbo/SP,26960,2443
Santa Rosa do Piauí/PI,5254,140
Santa Rosa do Purus/AC,6893,1014
Santa Rosa do Sul/SC,8397,1304
Santa Rosa do Tocantins/TO,4864,362
Santa Rosa/RS,73882,13855
Santa Salete/SP,1558,219
Santa Teresa/ES,23853,4870
Santa Teresinha/BA,10520,640
Santa Teresinha/PB,4550,273
Santa Tereza de Goiás/GO,3207,391
Santa Tereza do Oeste/PR,10055,1292
Santa Tereza do Tocantins/TO,2928,290
Santa Tereza/RS,1722,253
Santa Terezinha de Goiás/GO,8386,1180
Santa Terezinha de Itaipu/PR,23927,3346
Santa Terezinha do Progresso/SC,2317,329
Santa Terezinha do Tocantins/TO,2530,199
Santa Terezinha/MT,8547,562
Santa Terezinha/PE,11914,1039
Santa Terezinha/SC,8760,578
Santa Vitória do Palmar/RS,29298,3613
Santa Vitória/MG,19997,2725
Santaluz/BA,37704,3409
Santana da Boa Vista/RS,8037,353
Santana da Ponte Pensa/SP,1448,57
Santana da Vargem/MG,7047,637
Santana de Cataguases/MG,3909,658
Santana de Mangueira/PB,5098,418
Santana de Parnaíba/SP,145073,15652
Santana de Pirapama/MG,7538,561
Santana do Acaraú/CE,32851,2502
Santana do Araguaia/PA,75995,3272
Santana do Cariri/CE,17726,1356
Santana do Deserto/MG,3985,350
Santana do Garambéu/MG,2494,69
Santana do Ipanema/AL,47910,4947
Santana do Itararé/PR,4916,906
Santana do Jacaré/MG,4847,467
Santana do Manhuaçu/MG,8660,921
Santana do Maranhão/MA,13704,212
Santana do Matos/RN,11808,960
Santana do Mundaú/AL,10637,768
Santana do Paraíso/MG,36048,6928
Santana do Piauí/PI,4650,197
Santana do Riacho/MG,4334,431
Santana do Seridó/RN,2699,335
Santana do São Francisco/SE,7906,628
Santana dos Garrotes/PB,6942,467
Santana dos Montes/MG,3753,122
Santana/AP,124808,25879
Santana/BA,26792,591
Santanópolis/BA,8987,711
Santarém Novo/PA,6796,748
Santarém/PA,308339,20545
Santiago do Sul/SC,1211,155
Santiago/RS,49298,7373
Santo Afonso/MT,3164,331
Santo Amaro da Imperatriz/SC,23907,3931
Santo Amaro das Brotas/SE,12200,693
Santo Amaro do Maranhão/MA,16219,317
Santo Amaro/BA,60190,3185
Santo Anastácio/SP,20855,1947
Santo André/PB,2496,418
Santo André/SP,723889,65518
Santo Antônio da Alegria/SP,7024,653
Santo Antônio da Barra/GO,4886,521
Santo Antônio da Patrulha/RS,43397,5569
Santo Antônio da Platina/PR,46503,6623
Santo Antônio das Missões/RS,9930,547
Santo Antônio de Goiás/GO,6593,1379
Santo Antônio de Jesus/BA,103204,13208
Santo Antônio de Lisboa/PI,6466,119
Santo Antônio de Posse/SP,23742,3125
Santo Antônio de Pádua/RJ,42705,7392
Santo Antônio do Amparo/MG,18697,1242
Santo Antônio do Aracanguá/SP,8541,686
Santo Antônio do Aventureiro/MG,3602,435
Santo Antônio do Caiuá/PR,2611,205
Santo Antônio do Descoberto/GO,76871,3719
Santo Antônio do Grama/MG,3861,467
Santo Antônio do Itambé/MG,3763,111
Santo Antônio do Içá/AM,20889,1861
Santo Antônio do Jacinto/MG,11570,997
Santo Antônio do Jardim/SP,5926,567
Santo Antônio do Leste/MT,5459,321
Santo Antônio do Leverger/MT,17188,1346
Santo Antônio do Monte/MG,28603,3851
Santo Antônio do Palma/RS,2118,186
Santo Antônio do Paraíso/PR,2032,294
Santo Antônio do Pinhal/SP,6843,734
Santo Antônio do Planalto/RS,2018,157
Santo Antônio do Retiro/MG,7316,462
Santo Antônio do Rio Abaixo/MG,1756,109
Santo Antônio do Sudoeste/PR,20354,2267
Santo Antônio do Tauá/PA,32346,2005
Santo Antônio dos Lopes/MA,14516,1500
Santo Antônio dos Milagres/PI,2172,180
Santo Antônio/RN,24422,2319
Santo Augusto/RS,13813,1765
Santo Cristo/RS,14177,1770
Santo Estêvão/BA,53666,4603
Santo Expedito do Sul/RS,2287,268
Santo Expedito/SP,3159,187
Santo Hipólito/MG,3044,143
Santo Inácio do Piauí/PI,3809,273
Santo Inácio/PR,5422,563
Santo Ângelo/RS,77544,10915
Santos Dumont/MG,46357,4659
Santos/SP,433991,60598
Santópolis do Aguapeí/SP,4856,565
Sapeaçu/BA,17421,1898
Sapezal/MT,27485,5263
Sapiranga/RS,80514,13639
Sapopema/PR,6708,769
Sapucaia do Sul/RS,142508,16801
Sapucaia/PA,6088,406
Sapucaia/RJ,18270,3204
Sapucaí-Mirim/MG,7045,599
Sapé/PB,52977,3812
Saquarema/RJ,91938,3729
Sarandi/PR,98888,12723
Sarandi/RS,25024,3795
Sarapuí/SP,10493,515
Sardoá/MG,6421,487
Sarutaiá/SP,3623,128
Sarzedo/MG,34050,2374
Satuba/AL,14042,1138
Satubinha/MA,14274,348
Saubara/BA,12163,640
Saudade do Iguaçu/PR,5578,857
Saudades/SC,9874,1002
Saúde/BA,12971,651
Schroeder/SC,22605,3823
Seabra/BA,44370,6100
Seara/SC,17610,3141
Sebastianópolis do Sul/SP,3595,233
Sebastião Barros/PI,3434,24
Sebastião Laranjeiras/BA,11586,497
Sebastião Leal/PI,4311,481
Seberi/RS,10678,2313
Sede Nova/RS,2875,280
Segredo/RS,7465,678
Selbach/RS,5114,751
Selvíria/MS,6555,661
Sem-Peixe/MG,2579,172
Sena Madureira/AC,47168,5874
Senador Alexandre Costa/MA,11285,463
Senador Amaral/MG,5365,841
Senador Canedo/GO,121447,23120
Senador Cortes/MG,2001,259
Senador Elói de Souza/RN,6167,395
Senador Firmino/MG,7902,875
Senador Georgino Avelino/RN,4527,294
Senador Guiomard/AC,23446,1201
Senador José Bento/MG,1422,190
Senador José Porfírio/PA,11305,763
Senador La Rocque/MA,13981,306
Senador Modestino Gonçalves/MG,4056,198
Senador Pompeu/CE,25418,2298
Senador Rui Palmeira/AL,13893,419
Senador Salgado Filho/RS,2761,363
Senador Sá/CE,7758,1169
Sengés/PR,19441,2511
Senhor do Bonfim/BA,79813,5142
Senhora de Oliveira/MG,5786,284
Senhora do Porto/MG,3516,109
Senhora dos Remédios/MG,10474,442
Sentinela do Sul/RS,5635,571
Sento Sé/BA,41279,1051
Serafina Corrêa/RS,18074,2796
Sericita/MG,7340,726
Seringueiras/RO,11846,1515
Seritinga/MG,1857,119
Seropédica/RJ,83841,3328
Serra Alta/SC,3249,323
Serra Azul de Minas/MG,4292,145
Serra Azul/SP,15292,1373
Serra Branca/PB,13807,1035
Serra Caiada/RN,10646,706
Serra Dourada/BA,17261,545
Serra Grande/PB,2921,228
Serra Negra do Norte/RN,8105,1353
Serra Negra/SP,29669,3021
Serra Nova Dourada/MT,1705,283
Serra Preta/BA,14531,874
Serra Redonda/PB,7001,734
Serra Talhada/PE,87467,10877
Serra da Raiz/PB,3114,564
Serra da Saudade/MG,771,58
Serra de São Bento/RN,5739,212
Serra do Mel/RN,12225,745
Serra do Navio/AP,5577,1318
Serra do Ramalho/BA,31362,871
Serra do Salitre/MG,11750,1423
Serra dos Aimorés/MG,8725,594
Serra/ES,536765,75171
Serrana/SP,46166,4780
Serrania/MG,7667,766
Serrano do Maranhão/MA,10343,208
Serranos/MG,1949,53
Serranópolis de Minas/MG,4836,212
Serranópolis do Iguaçu/PR,4460,622
Serranópolis/GO,8737,1354
Serraria/PB,6037,649
Serrinha dos Pintos/RN,4832,626
Serrinha/BA,81693,7691
Serrinha/RN,6128,665
Serrita/PE,19226,1544
Serro/MG,20915,1211
Serrolândia/BA,13490,1124
Sertaneja/PR,5149,717
Sertanópolis/PR,16456,2807
Sertânia/PE,36189,3140
Sertão Santana/RS,6586,727
Sertão/RS,5220,777
Sertãozinho/PB,5152,691
Sertãozinho/SP,128432,20115
Sete Barras/SP,12731,1921
Sete Lagoas/MG,243950,23457
Sete Quedas/MS,10751,740
Sete de Setembro/RS,1931,127
Setubinha/MG,12493,222
Severiano Melo/RN,1743,806
Severiano de Almeida/RS,3607,420
Severínia/SP,17820,2282
Siderópolis/SC,14176,1411
Sidrolândia/MS,60792,5475
Sigefredo Pacheco/PI,10074,455
Silva Jardim/RJ,21775,2921
Silvanópolis/TO,5452,991
Silveira Martins/RS,2365,207
Silveiras/SP,6375,552
Silveirânia/MG,2267,107
Silves/AM,9289,1387
Silvianópolis/MG,6258,328
Silvânia/GO,20938,2233
Simolândia/GO,6895,494
Simonésia/MG,19834,1352
Simplício Mendes/PI,12778,1504
Simão Dias/SE,40724,3361
Simão Pereira/MG,2621,288
Simões Filho/BA,137117,9307
Simões/PI,14664,983
Sinimbu/RS,10152,933
Sinop/MT,148960,26074
Siqueira Campos/PR,21476,3652
Sirinhaém/PE,46845,961
Siriri/SE,9046,845
Sobradinho/BA,23274,1736
Sobradinho/RS,15041,1658
Sobrado/PB,7845,562
Sobral/CE,212437,27544
Sobrália/MG,5476,288
Socorro do Piauí/PI,4557,163
Socorro/SP,41690,4389
Soledade de Minas/MG,6226,390
Soledade/PB,15211,1288
Soledade/RS,31067,4336
Solidão/PE,6034,700
Solonópole/CE,18389,1750
Solânea/PB,26051,4320
Sombrio/SC,31084,4020
Sonora/MS,20158,2041
Sooretama/ES,31278,3739
Sorocaba/SP,695328,77137
Sorriso/MT,94941,18315
Sossêgo/PB,3631,295
Soure/PA,25752,706
Sousa/PB,69997,7445
Souto Soares/BA,17118,987
Sucupira do Norte/MA,10631,263
Sucupira do Riachão/MA,5692,220
Sucupira/TO,2007,315
Sud Mennucci/SP,7738,949
Sul Brasil/SC,2386,630
Sulina/PR,2880,388
Sumaré/SP,289875,28146
Sumidouro/RJ,15709,2326
Sumé/PB,17096,2783
Surubim/PE,66192,4681
Sussuapara/PI,6801,505
Suzano/SP,303397,23488
Suzanápolis/SP,4063,376
Sátiro Dias/BA,17330,823
São Benedito do Rio Preto/MA,18769,1602
São Benedito do Sul/PE,16239,379
São Benedito/CE,48354,4253
São Bentinho/PB,4602,480
São Bento Abade/MG,5411,237
São Bento do Norte/RN,2687,328
São Bento do Sapucaí/SP,10907,805
São Bento do Sul/SC,86317,11752
São Bento do Tocantins/TO,5457,833
São Bento do Trairí/RN,4541,240
São Bento do Una/PE,60567,3004
São Bento/MA,45989,919
São Bento/PB,34650,5929
São Bernardino/SC,2239,389
São Bernardo do Campo/SP,849874,75721
São Bernardo/MA,28825,1176
São Bonifácio/SC,2791,487
São Borja/RS,59768,9893
São Braz do Piauí/PI,4454,102
São Brás do Suaçuí/MG,3770,348
São Brás/AL,6977,391
São Caetano de Odivelas/PA,18207,1225
São Caetano do Sul/SP,162763,19960
São Caitano/PE,37488,2148
São Carlos do Ivaí/PR,6961,1077
São Carlos/SC,11456,1024
São Carlos/SP,256915,27336
São Cristóvão do Sul/SC,5646,297
São Cristóvão/SE,92090,9891
São Desidério/BA,34764,3334
São Domingos das Dores/MG,5672,604
São Domingos do Araguaia/PA,25945,2661
São Domingos do Azeitão/MA,7448,265
São Domingos do Capim/PA,32285,1148
São Domingos do Cariri/PB,2645,195
São Domingos do Maranhão/MA,34391,3156
São Domingos do Norte/ES,8735,1583
São Domingos do Prata/MG,17296,1244
São Domingos do Sul/RS,3091,472
São Domingos/BA,9085,1008
São Domingos/GO,13305,209
São Domingos/PB,3119,342
São Domingos/SC,9422,1329
São Domingos/SE,11276,906
São Felipe D'Oeste/RO,4962,527
São Felipe/BA,21083,3420
São Fernando/RN,3606,470
São Fidélis/RJ,38749,617
São Francisco de Assis do Piauí/PI,5801,88
São Francisco de Assis/RS,18081,1811
São Francisco de Goiás/GO,6265,593
São Francisco de Itabapoana/RJ,42214,2475
São Francisco de Paula/MG,6512,497
São Francisco de Paula/RS,21871,1628
São Francisco de Sales/MG,6309,875
São Francisco do Brejão/MA,12082,549
São Francisco do Conde/BA,40664,3787
São Francisco do Glória/MG,4758,451
São Francisco do Guaporé/RO,21088,2565
São Francisco do Maranhão/MA,12226,418
São Francisco do Oeste/RN,4281,338
São Francisco do Pará/PA,15978,925
São Francisco do Piauí/PI,6417,224
São Francisco do Sul/SC,54751,7781
São Francisco/MG,56625,1842
São Francisco/PB,3377,200
São Francisco/SE,3837,324
São Francisco/SP,2813,318
São Félix de Balsas/MA,4540,283
São Félix de Minas/MG,3354,249
São Félix do Araguaia/MT,11934,2148
São Félix do Coribe/BA,15543,1109
São Félix do Piauí/PI,2923,298
São Félix do Tocantins/TO,1610,163
São Félix do Xingu/PA,135732,4310
São Félix/BA,14784,1011
São Gabriel da Cachoeira/AM,47031,8179
São Gabriel da Palha/ES,39085,7116
São Gabriel do Oeste/MS,27660,4296
São Gabriel/BA,18785,1800
São Gabriel/RS,62187,8589
São Geraldo da Piedade/MG,3860,274
São Geraldo do Araguaia/PA,24566,1722
São Geraldo do Baixio/MG,4104,227
São Geraldo/MG,12751,1035
São Gonçalo do Abaeté/MG,8527,441
São Gonçalo do Amarante/CE,49306,7397
São Gonçalo do Amarante/RN,104919,8579
São Gonçalo do Gurguéia/PI,3071,230
São Gonçalo do Pará/MG,12776,579
São Gonçalo do Piauí/PI,5044,459
São Gonçalo do Rio Abaixo/MG,11114,1553
São Gonçalo do Rio Preto/MG,3178,234
São Gonçalo do Sapucaí/MG,25670,2762
São Gonçalo dos Campos/BA,38315,2504
São Gonçalo/RJ,1098357,71026
São Gotardo/MG,36084,4579
São Jerônimo da Serra/PR,11088,786
São Jerônimo/RS,24569,1852
São Joaquim da Barra/SP,52737,6705
São Joaquim de Bicas/MG,32696,1871
São Joaquim do Monte/PE,21439,915
São Joaquim/SC,27322,3423
São Jorge d'Oeste/PR,9005,1495
São Jorge do Ivaí/PR,5535,791
São Jorge do Patrocínio/PR,5532,976
São Jorge/RS,2808,411
São José da Barra/MG,7532,738
São José da Bela Vista/SP,8991,320
São José da Boa Vista/PR,6115,660
São José da Coroa Grande/PE,21868,1659
São José da Lagoa Tapada/PB,7622,1033
São José da Laje/AL,24064,1198
São José da Lapa/MG,24490,2621
São José da Safira/MG,4291,430
São José da Tapera/AL,32462,1368
São José da Varginha/MG,5151,240
São José da Vitória/BA,5562,742
São José das Missões/RS,2491,329
São José das Palmeiras/PR,3601,451
São José de Caiana/PB,6394,399
São José de Espinharas/PB,4631,487
São José de Mipibu/RN,44566,4810
São José de Piranhas/PB,20406,2126
São José de Princesa/PB,3898,233
São José de Ribamar/MA,180345,4060
São José de Ubá/RJ,7240,1093
São José do Alegre/MG,4222,243
São José do Barreiro/SP,4141,303
São José do Belmonte/PE,34082,2539
São José do Bonfim/PB,3619,139
São José do Brejo do Cruz/PB,1821,185
São José do Calçado/ES,10536,1321
São José do Campestre/RN,12901,1102
São José do Cedro/SC,13811,2043
São José do Cerrito/SC,8054,755
São José do Divino/MG,3851,364
São José do Divino/PI,5361,237
São José do Egito/PE,34210,2725
São José do Goiabal/MG,5356,418
São José do Herval/RS,1917,217
São José do Hortêncio/RS,4924,626
São José do Inhacorá/RS,2040,455
São José do Jacuri/MG,6409,333
São José do Jacuípe/BA,10546,481
São José do Mantimento/MG,2821,254
São José do Norte/RS,27866,1820
São José do Ouro/RS,6911,1052
São José do Peixe/PI,3737,116
São José do Piauí/PI,6696,221
São José do Povo/MT,4102,194
São José do Rio Claro/MT,21351,1955
São José do Rio Pardo/SP,55298,3922
São José do Rio Preto/SP,469173,95466
São José do Sabugi/PB,4153,700
São José do Seridó/RN,4696,453
São José do Sul/RS,2464,314
São José do Vale do Rio Preto/RJ,22032,2269
São José do Xingu/MT,5646,830
São José dos Ausentes/RS,3559,688
São José dos Basílios/MA,7639,582
São José dos Campos/SP,737310,92434
São José dos Cordeiros/PB,3607,137
São José dos Pinhais/PR,334620,33682
São José dos Quatro Marcos/MT,18788,2894
São José dos Ramos/PB,6037,547
São José/SC,253705,35971
São João Batista do Glória/MG,7541,1125
São João Batista/MA,20736,246
São João Batista/SC,39719,5236
São João Evangelista/MG,15761,1037
São João Nepomuceno/MG,26530,2613
São João d'Aliança/GO,14423,893
São João da Baliza/RR,8492,1647
São João da Barra/RJ,36731,5097
São João da Boa Vista/SP,92315,9183
São João da Canabrava/PI,4619,508
São João da Fronteira/PI,6084,257
São João da Lagoa/MG,4949,299
São João da Mata/MG,2743,316
São João da Paraúna/GO,1312,140
São João da Ponta/PA,6294,77
São João da Ponte/MG,25033,562
São João da Serra/PI,6106,376
São João da Urtiga/RS,4625,832
São João da Varjota/PI,4856,350
São João das Duas Pontes/SP,2555,220
São João das Missões/MG,13232,496
São João de Iracema/SP,1942,178
São João de Meriti/RJ,473385,16354
São João de Pirabas/PA,23440,335
São João del Rei/MG,90897,9450
São João do Araguaia/PA,14105,78
São João do Arraial/PI,8085,889
São João do Caiuá/PR,5819,542
São João do Cariri/PB,4170,440
São João do Carú/MA,15768,547
São João do Itaperiú/SC,3784,710
São João do Ivaí/PR,9897,1348
São João do Jaguaribe/CE,7557,794
São João do Manhuaçu/MG,11785,942
São João do Manteninha/MG,5975,852
São João do Oeste/SC,6423,656
São João do Oriente/MG,7393,806
São João do Pacuí/MG,4476,52
São João do Paraíso/MA,11207,397
São João do Paraíso/MG,23797,1788
São João do Pau d'Alho/SP,2095,192
São João do Piauí/PI,20720,2071
São João do Polêsine/RS,2535,405
São João do Rio do Peixe/PB,18020,1439
São João do Sabugi/RN,6221,805
São João do Soter/MA,18746,1231
São João do Sul/SC,7332,1074
São João do Tigre/PB,4408,264
São João do Triunfo/PR,15359,745
São João dos Patos/MA,26063,2746
São João/PE,23002,948
São João/PR,10122,1590
São Julião/PI,6379,360
São Leopoldo/RS,240378,29043
São Lourenço da Mata/PE,114910,4655
São Lourenço da Serra/SP,16127,688
São Lourenço do Oeste/SC,24501,1881
São Lourenço do Piauí/PI,4581,67
São Lourenço do Sul/RS,43501,3568
São Lourenço/MG,46539,6096
São Ludgero/SC,13886,3195
São Luis do Piauí/PI,2648,143
São Luiz Gonzaga/RS,33124,4116
São Luiz do Norte/GO,5263,670
São Luiz do Paraitinga/SP,10693,946
São Luiz/RR,8232,692
São Luís Gonzaga do Maranhão/MA,18600,1324
São Luís de Montes Belos/GO,34488,5421
São Luís do Curu/CE,13086,1347
São Luís do Quitunde/AL,34825,1358
São Luís/MA,1115932,46917
São Mamede/PB,7682,920
São Manoel do Paraná/PR,2165,210
São Manuel/SP,41287,5645
São Marcos/RS,21756,3802
São Martinho da Serra/RS,3228,106
São Martinho/RS,5336,796
São Martinho/SC,3162,797
São Mateus do Maranhão/MA,41750,2188
São Mateus do Sul/PR,47137,4306
São Mateus/ES,134629,14012
São Miguel Arcanjo/SP,33071,2099
São Miguel da Baixa Grande/PI,2456,188
São Miguel da Boa Vista/SC,1794,281
São Miguel das Matas/BA,11733,890
São Miguel das Missões/RS,7692,826
São Miguel de Taipu/PB,7450,578
São Miguel do Aleixo/SE,3964,457
São Miguel do Anta/MG,6949,537
São Miguel do Araguaia/GO,21849,3490
São Miguel do Fidalgo/PI,3037,150
São Miguel do Gostoso/RN,10441,759
São Miguel do Guamá/PA,60268,3709
São Miguel do Guaporé/RO,23147,2522
São Miguel do Iguaçu/PR,27696,3486
São Miguel do Oeste/SC,41246,7048
São Miguel do Passa Quatro/GO,4105,505
São Miguel do Tapuio/PI,17617,652
São Miguel do Tocantins/TO,12445,668
São Miguel dos Campos/AL,62328,3851
São Miguel dos Milagres/AL,8073,332
São Miguel/RN,23789,2584
São Nicolau/RS,5153,74
São Patrício/GO,2040,331
São Paulo das Missões/RS,5654,590
São Paulo de Olivença/AM,40837,5304
São Paulo do Potengi/RN,17858,1930
São Paulo/SP,12396372,965882
São Pedro da Aldeia/RJ,107556,5708
São Pedro da Cipa/MT,4823,735
São Pedro da Serra/RS,3881,372
São Pedro da União/MG,4563,340
São Pedro da Água Branca/MA,12779,607
São Pedro das Missões/RS,2025,330
São Pedro de Alcântara/SC,6046,769
São Pedro do Butiá/RS,2950,393
São Pedro do Iguaçu/PR,5745,702
São Pedro do Ivaí/PR,11109,1387
São Pedro do Paraná/PR,2265,231
São Pedro do Piauí/PI,14356,1557
São Pedro do Suaçuí/MG,5160,353
São Pedro do Sul/RS,16100,1734
São Pedro do Turvo/SP,7724,977
São Pedro dos Crentes/MA,4700,461
São Pedro dos Ferros/MG,7634,459
São Pedro/RN,5889,474
São Pedro/SP,36298,5776
São Rafael/RN,8183,996
São Raimundo Nonato/PI,35035,3819
São Raimundo das Mangabeiras/MA,19090,2527
São Raimundo do Doca Bezerra/MA,5028,163
São Roberto/MA,6856,727
São Romão/MG,12713,351
São Roque de Minas/MG,7100,842
São Roque do Canaã/ES,12602,1893
São Roque/SP,93076,6987
São Salvador do Tocantins/TO,3106,215
São Sebastião da Amoreira/PR,8865,916
São Sebastião da Bela Vista/MG,5598,602
São Sebastião da Boa Vista/PA,27302,676
São Sebastião da Grama/SP,12137,1175
São Sebastião da Vargem Alegre/MG,3039,205
São Sebastião de Lagoa de Roça/PB,11793,1270
São Sebastião do Alto/RJ,9416,770
São Sebastião do Anta/MG,6697,459
São Sebastião do Caí/RS,26161,3609
São Sebastião do Maranhão/MG,9884,497
São Sebastião do Oeste/MG,6948,490
São Sebastião do Paraíso/MG,71915,7121
São Sebastião do Passé/BA,44554,3570
São Sebastião do Rio Preto/MG,1478,142
São Sebastião do Rio Verde/MG,2259,338
São Sebastião do Tocantins/TO,4898,575
São Sebastião do Uatumã/AM,14678,1615
São Sebastião do Umbuzeiro/PB,3534,263
São Sebastião/AL,34424,1942
São Sebastião/SP,91637,8141
São Sepé/RS,23492,2076
São Simão/GO,21318,1731
São Simão/SP,15446,1072
São Tiago/MG,10979,920
São Tomás de Aquino/MG,6980,499
São Tomé das Letras/MG,7151,328
São Tomé/PR,5778,720
São Tomé/RN,11051,1202
São Valentim do Sul/RS,2248,337
São Valentim/RS,3220,294
São Valério do Sul/RS,2732,139
São Valério/TO,3848,590
São Vendelino/RS,2288,391
São Vicente Ferrer/MA,22452,226
São Vicente Férrer/PE,18150,1360
São Vicente de Minas/MG,7876,396
São Vicente do Seridó/PB,10919,582
São Vicente do Sul/RS,8742,596
São Vicente/RN,6476,746
São Vicente/SP,370839,19128
Sério/RS,1889,212
Sítio Novo do Tocantins/TO,8965,713
Sítio Novo/MA,18237,1745
Sítio Novo/RN,5600,311
Sítio d'Abadia/GO,3040,49
Sítio do Mato/BA,13104,229
Sítio do Quinto/BA,9431,591
Tabaporã/MT,9357,1582
Tabapuã/SP,12561,1919
Tabatinga/AM,68502,3342
Tabatinga/SP,16787,2076
Tabaí/RS,4816,562
Tabira/PE,28860,3030
Tabocas do Brejo Velho/BA,12515,291
Tabocão/TO,2615,519
Taboleiro Grande/RN,2606,249
Taboão da Serra/SP,297528,18679
Tabuleiro do Norte/CE,32079,5328
Tabuleiro/MG,3669,295
Tacaimbó/PE,12843,533
Tacaratu/PE,26439,808
Taciba/SP,6371,834
Tacima/PB,11024,456
Tacuru/MS,11795,733
Taguatinga/TO,16966,1545
Taguaí/SP,14415,2621
Taiaçu/SP,6346,401
Tailândia/PA,111554,7233
Taiobeiras/MG,34653,3655
Taipas do Tocantins/TO,2183,201
Taipu/RN,12314,759
Taió/SC,18576,2525
Taiúva/SP,5562,907
Talismã/TO,2831,367
Tamandaré/PE,23852,755
Tamarana/PR,15277,1161
Tambaú/SP,23255,2481
Tamboara/PR,5196,567
Tamboril do Piauí/PI,2939,54
Tamboril/CE,26199,2962
Tanabi/SP,26231,4876
Tangará da Serra/MT,107631,17758
Tangará/RN,16008,691
Tangará/SC,8648,1452
Tanguá/RJ,34898,4504
Tanhaçu/BA,20383,1480
Tanque Novo/BA,17518,1090
Tanque d'Arca/AL,6115,454
Tanque do Piauí/PI,2781,205
Tanquinho/BA,7936,829
Taparuba/MG,3093,347
Tapauá/AM,16876,1972
Tapejara/PR,16480,2072
Tapejara/RS,24973,4829
Tapera/RS,10569,1712
Taperoá/BA,21421,1239
Taperoá/PB,15505,926
Tapes/RS,17363,1359
Tapira/MG,4890,471
Tapira/PR,5452,615
Tapiramutá/BA,16939,659
Tapiratiba/SP,12940,1709
Tapiraí/MG,1869,84
Tapiraí/SP,7725,860
Tapurah/MT,14380,2662
Taquara/RS,57740,5648
Taquaral de Goiás/GO,3506,298
Taquaral/SP,2815,367
Taquarana/AL,20162,757
Taquaraçu de Minas/MG,4120,321
Taquari/RS,26907,3376
Taquaritinga do Norte/PE,29472,792
Taquaritinga/SP,57547,6686
