#municipalities,population,cases
Bonfinópolis de Minas/MG,5397,600
Bonfinópolis/GO,10120,521
Boninal/BA,14518,674
Bonito de Minas/MG,11502,110
Bonito de Santa Fé/PB,12126,563
Bonito/BA,16999,1054
Bonito/MS,22401,3224
Bonito/PA,16769,405
Bonito/PE,38101,1152
Bonópolis/GO,4579,347
Boqueirão do Leão/RS,7691,626
Boqueirão do Piauí/PI,6443,821
Boqueirão/PB,17934,2331
Boquim/SE,26980,2690
Boquira/BA,21486,890
Boracéia/SP,4913,998
Borba/AM,42328,2513
Borborema/PB,5311,391
Borborema/SP,16278,1713
Borda da Mata/MG,19809,2015
Borebi/SP,2713,281
Borrazópolis/PR,6290,930
Borá/SP,839,126
Bossoroca/RS,6135,478
Botelhos/MG,14927,1887
Botucatu/SP,149718,18870
Botumirim/MG,6259,246
Botuporã/BA,10050,457
Botuverá/SC,5396,975
Bozano/RS,2099,280
Braga/RS,3271,428
Braganey/PR,5338,621
Bragança Paulista/SP,172346,23029
Bragança/PA,130122,4437
Branquinha/AL,10426,713
Brasil Novo/PA,14883,2174
Brasileira/PI,8364,638
Brasilândia de Minas/MG,16950,1854
Brasilândia do Sul/PR,2521,426
Brasilândia do Tocantins/TO,2221,255
Brasilândia/MS,11835,1276
Brasiléia/AC,27123,2999
Brasnorte/MT,20571,2148
Brasília de Minas/MG,32460,1477
Brasília/DF,3094325,507861
Brazabrantes/GO,3812,617
Brazópolis/MG,14364,925
Braço do Norte/SC,34294,9000
Braço do Trombudo/SC,3794,749
Braúna/SP,5795,623
Braúnas/MG,4737,261
Brejetuba/ES,12450,1803
Brejinho de Nazaré/TO,5540,664
Brejinho/PE,7489,849
Brejinho/RN,12873,1518
Brejo Alegre/SP,2911,402
Brejo Grande do Araguaia/PA,7357,903
Brejo Grande/SE,8396,462
Brejo Santo/CE,50195,8426
Brejo da Madre de Deus/PE,51696,2413
Brejo de Areia/MA,8841,320
Brejo do Cruz/PB,14287,1964
Brejo do Piauí/PI,3824,158
Brejo dos Santos/PB,6479,756
Brejo/MA,36900,959
Brejolândia/BA,10675,154
Brejão/PE,8981,494
Brejões/BA,14155,873
Breu Branco/PA,68597,950
Breves/PA,104280,4085
Britânia/GO,5815,701
Brochier/RS,5132,623
Brodowski/SP,25605,2869
Brotas de Macaúbas/BA,10705,324
Brotas/SP,24862,2236
Brumadinho/MG,41208,4241
Brumado/BA,67468,9742
Brunópolis/SC,2318,334
Brusque/SC,140597,30531
Brás Pires/MG,4255,322
Bueno Brandão/MG,10982,1005
Buenos Aires/PE,13224,396
Buenópolis/MG,10342,305
Buerarema/BA,18269,1411
Bugre/MG,3984,373
Bujari/AC,10572,1140
Bujaru/PA,29717,1461
Buri/SP,20050,2657
Buritama/SP,17414,2700
Buriti Alegre/GO,9515,1188
Buriti Bravo/MA,23993,1782
Buriti de Goiás/GO,2464,322
Buriti do Tocantins/TO,11644,1179
Buriti dos Lopes/PI,19832,1348
Buriti dos Montes/PI,8282,718
Buriti/MA,28916,931
Buriticupu/MA,73595,3856
Buritinópolis/GO,3272,218
Buritirama/BA,21374,875
Buritirana/MA,15503,448
Buritis/MG,25179,2799
Buritis/RO,41043,5077
Buritizal/SP,4547,352
Buritizeiro/MG,28184,1694
Butiá/RS,20963,2531
Buíque/PE,59448,2608
Bálsamo/SP,9209,1812
Caapiranga/AM,13482,695
Caaporã/PB,22079,2174
Caarapó/MS,31005,4084
Caatiba/BA,6232,955
Cabaceiras do Paraguaçu/BA,19010,789
Cabaceiras/PB,5710,466
Cabeceira Grande/MG,7025,536
Cabeceiras do Piauí/PI,10671,682
Cabeceiras/GO,8098,484
Cabedelo/PB,69773,9760
Cabixi/RO,5067,926
Cabo Frio/RJ,234077,17704
Cabo Verde/MG,14074,761
Cabo de Santo Agostinho/PE,210796,10040
Cabreúva/SP,51130,4947
Cabrobó/PE,34778,2452
Cabrália Paulista/SP,4222,459
Cacaulândia/RO,6307,938
Cacequi/RS,12291,815
Cachoeira Alta/GO,12843,1917
Cachoeira Dourada/GO,7997,931
Cachoeira Dourada/MG,2720,179
Cachoeira Grande/MA,9524,327
Cachoeira Paulista/SP,33827,2744
