cities,population,cases
Antônio Gonçalves(BA),11798,4
Aporá(BA),17731,31
Apuarema(BA),7330,1
Aracatu(BA),13135,12
Araci(BA),54379,96
Aramari(BA),11397,3
Arataca(BA),11019,2
Aratuípe(BA),8825,1
Araçás(BA),12177,2
Aurelino Leal(BA),11531,40
Baianópolis(BA),13877,2
Baixa Grande(BA),20468,1
Banzaê(BA),13229,13
Barra(BA),53578,21
Barra da Estiva(BA),20598,1
Barra do Choça(BA),31603,18
Barra do Mendes(BA),13865,2
Barra do Rocha(BA),5714,5
Barreiras(BA),155439,178
Barro Alto(BA),14931,0
Barro Preto(BA),5591,12
Barrocas(BA),15978,33
Belmonte(BA),23328,51
Belo Campo(BA),17211,1
Biritinga(BA),15979,1
Boa Nova(BA),12633,1
Boa Vista do Tupim(BA),18576,4
Bom Jesus da Lapa(BA),69148,39
Bom Jesus da Serra(BA),9880,0
Boninal(BA),14368,2
Bonito(BA),16764,0
Boquira(BA),21508,10
Botuporã(BA),10211,0
Brejolândia(BA),10557,0
Brejões(BA),14295,9
Brotas de Macaúbas(BA),10231,0
Brumado(BA),67195,96
Buerarema(BA),18349,48
Buritirama(BA),21174,15
Caatiba(BA),6758,14
Cabaceiras do Paraguaçu(BA),18807,4
Cachoeira(BA),33470,26
Caculé(BA),23170,1
Caetanos(BA),14542,2
Caetité(BA),50975,17
Cafarnaum(BA),18437,0
Cairu(BA),18176,29
Caldeirão Grande(BA),13327,6
Camacan(BA),31988,191
Camamu(BA),35316,16
Camaçari(BA),299132,632
Campo Alegre de Lourdes(BA),28798,29
Campo Formoso(BA),71206,20
Canarana(BA),26176,19
Canavieiras(BA),31099,29
Candeal(BA),8258,9
Candeias(BA),87076,428
Candiba(BA),14319,7
Cansanção(BA),34834,25
Canudos(BA),16668,12
Canápolis(BA),9711,0
Capela do Alto Alegre(BA),11637,2
Capim Grosso(BA),30662,33
Caravelas(BA),22016,8
Caraíbas(BA),8951,3
Cardeal da Silva(BA),9295,7
Carinhanha(BA),29018,1
Casa Nova(BA),71969,51
Castro Alves(BA),26264,39
Catolândia(BA),3577,1
Catu(BA),54704,136
Caturama(BA),9329,0
Caém(BA),9213,5
Central(BA),17266,0
