cities,population,cases
Itapaci(GO),22981,210
Itapirapuã(GO),4997,107
Itapuranga(GO),25768,384
Itarumã(GO),7178,72
Itauçu(GO),8938,18
Itumbiara(GO),104742,1719
Ivolândia(GO),2370,30
Jandaia(GO),6048,213
Jaraguá(GO),50511,286
Jataí(GO),100882,2827
Jaupaci(GO),2879,21
Jesúpolis(GO),2490,28
Joviânia(GO),7387,155
Jussara(GO),18478,249
Lagoa Santa(GO),1588,5
Leopoldo de Bulhões(GO),7647,134
Luziânia(GO),208299,3563
Mairipotaba(GO),2368,8
Mambaí(GO),8882,27
Mara Rosa(GO),9503,86
Marzagão(GO),2236,7
Matrinchã(GO),4351,19
Maurilândia(GO),14080,275
Mimoso de Goiás(GO),2597,37
Minaçu(GO),29070,169
Mineiros(GO),66801,3222
Moiporá(GO),1529,29
Monte Alegre de Goiás(GO),8606,14
Montes Claros de Goiás(GO),8055,114
Montividiu(GO),13396,291
Montividiu do Norte(GO),4479,28
Morrinhos(GO),46136,1166
Morro Agudo de Goiás(GO),2248,11
Mossâmedes(GO),4290,26
Mozarlândia(GO),15659,848
Mundo Novo(GO),4887,42
Mutunópolis(GO),3778,6
Nazário(GO),9142,55
Nerópolis(GO),29850,154
Niquelândia(GO),46388,573
Nova América(GO),2352,16
Nova Aurora(GO),2210,33
Nova Crixás(GO),12869,124
Nova Glória(GO),8164,197
Nova Iguaçu de Goiás(GO),2929,22
Nova Roma(GO),3264,2
Nova Veneza(GO),9853,206
Novo Brasil(GO),2913,16
Novo Gama(GO),115711,1345
Novo Planalto(GO),4495,1
Orizona(GO),15615,157
Ouro Verde de Goiás(GO),3759,42
Ouvidor(GO),6667,168
Padre Bernardo(GO),33835,483
Palestina de Goiás(GO),3464,23
Palmeiras de Goiás(GO),28858,2071
Palmelo(GO),2381,68
Palminópolis(GO),3585,61
Panamá(GO),2615,61
Paranaiguara(GO),10057,89
Paraúna(GO),10988,216
Perolândia(GO),3129,24
Petrolina de Goiás(GO),10281,110
Pilar de Goiás(GO),2253,25
Piracanjuba(GO),24524,419
Piranhas(GO),10385,139
Pirenópolis(GO),24908,33
Pires do Rio(GO),31458,732
Planaltina(GO),89918,1277
Pontalina(GO),17819,143
Porangatu(GO),45394,557
Porteirão(GO),3881,156
Portelândia(GO),4011,41
Posse(GO),36900,236
Professor Jamil(GO),3223,40
Quirinópolis(GO),50065,804
Rialma(GO),10918,349
Rianápolis(GO),4801,89
Rio Quente(GO),4493,38
Rio Verde(GO),235647,9346
Rubiataba(GO),19882,172
Sanclerlândia(GO),7637,89
Santa Bárbara de Goiás(GO),6560,95
Santa Cruz de Goiás(GO),2855,48
Santa Fé de Goiás(GO),5459,34
Santa Helena de Goiás(GO),38648,1748
Santa Isabel(GO),3809,123
