#city,population,cases
Aragarças(GO),20118,1833
Aragoiânia(GO),10308,871
Araguapaz(GO),7770,442
Araçu(GO),3522,373
Arenópolis(GO),2612,165
Aruanã(GO),9875,388
Aurilândia(GO),3120,170
Avelinópolis(GO),2417,264
Baliza(GO),5138,201
Barro Alto(GO),11167,1198
Bela Vista de Goiás(GO),29975,2048
Bom Jardim de Goiás(GO),8841,584
Bom Jesus de Goiás(GO),25216,2400
Bonfinópolis(GO),9706,429
Bonópolis(GO),4405,133
Brazabrantes(GO),3703,350
Britânia(GO),5779,445
Buriti Alegre(GO),9459,789
Buriti de Goiás(GO),2488,173
Buritinópolis(GO),3292,155
Cabeceiras(GO),7993,274
Cachoeira Alta(GO),12484,1165
Cachoeira Dourada(GO),8067,377
Cachoeira de Goiás(GO),1351,53
Caiapônia(GO),18913,942
Caldas Novas(GO),91162,7015
Caldazinha(GO),3804,211
Campestre de Goiás(GO),3630,421
Campinaçu(GO),3640,181
Campinorte(GO),12626,1142
Campo Alegre de Goiás(GO),7589,228
Campo Limpo de Goiás(GO),7789,161
Campos Belos(GO),19887,1073
Campos Verdes(GO),2141,219
Carmo do Rio Verde(GO),10082,570
Castelândia(GO),3435,272
Catalão(GO),108823,7899
Caturaí(GO),5070,421
Cavalcante(GO),9709,242
Caçu(GO),16009,1164
Ceres(GO),22191,2266
Cezarina(GO),8606,784
Chapadão do Céu(GO),10167,1224
Cidade Ocidental(GO),71376,4977
Cocalzinho de Goiás(GO),20240,1205
Colinas do Sul(GO),3382,234
Corumbaíba(GO),9723,846
Corumbá de Goiás(GO),11110,507
Cristalina(GO),58997,2391
Cristianópolis(GO),2966,246
Crixás(GO),16949,1981
Cromínia(GO),3486,191
Cumari(GO),2854,242
Córrego do Ouro(GO),2327,231
Damianópolis(GO),3311,58
Damolândia(GO),2938,197
Davinópolis(GO),2094,89
Diorama(GO),2484,94
Divinópolis de Goiás(GO),4804,210
Doverlândia(GO),7322,402
Edealina(GO),3699,433
Edéia(GO),12372,1162
Estrela do Norte(GO),3275,222
Faina(GO),6627,449
Fazenda Nova(GO),5637,328
Firminópolis(GO),13292,516
Flores de Goiás(GO),16557,155
Formosa(GO),121617,7458
Formoso(GO),4248,399
Gameleira de Goiás(GO),3818,282
Goiandira(GO),5600,270
Goianira(GO),44289,2888
Goianápolis(GO),11231,922
Goianésia(GO),70084,8009
Goiatuba(GO),34095,4044
Goiás(GO),22645,959
Goiânia(GO),1516113,136873
Gouvelândia(GO),5898,317
Guapó(GO),14209,1239
Guarani de Goiás(GO),3893,171
Guaraíta(GO),1996,182
Guarinos(GO),1794,119
Heitoraí(GO),3724,113
Hidrolina(GO),3564,233
Hidrolândia(GO),21706,1961
Iaciara(GO),13947,534
Inaciolândia(GO),6194,514
Indiara(GO),15611,706
Inhumas(GO),52866,6620
Ipameri(GO),26985,1649
Ipiranga de Goiás(GO),2893,127
Iporá(GO),31531,2671
Israelândia(GO),2800,150
Itaberaí(GO),42900,2148
Itaguari(GO),4676,635
Itaguaru(GO),5237,385
Itajá(GO),4539,186
Itapaci(GO),22981,1650
Itapirapuã(GO),4997,589
Itapuranga(GO),25768,2649
Itarumã(GO),7178,328
Itauçu(GO),8938,795
Itumbiara(GO),104742,7926
Ivolândia(GO),2370,182
Jandaia(GO),6048,671
Jaraguá(GO),50511,4313
Jataí(GO),100882,8775
Jaupaci(GO),2879,65
Jesúpolis(GO),2490,120
Joviânia(GO),7387,898
Jussara(GO),18478,1355
Lagoa Santa(GO),1588,91
Leopoldo de Bulhões(GO),7647,405
Luziânia(GO),208299,17946
Mairipotaba(GO),2368,170
Mambaí(GO),8882,190
Mara Rosa(GO),9503,275
Marzagão(GO),2236,220
Matrinchã(GO),4351,173
Maurilândia(GO),14080,832
Mimoso de Goiás(GO),2597,112
Minaçu(GO),29070,1682
Mineiros(GO),66801,8943
Moiporá(GO),1529,52
Monte Alegre de Goiás(GO),8606,150
Montes Claros de Goiás(GO),8055,784
Montividiu(GO),13396,1064
Montividiu do Norte(GO),4479,217
Morrinhos(GO),46136,5259
Morro Agudo de Goiás(GO),2248,212
Mossâmedes(GO),4290,151
Mozarlândia(GO),15659,1566
Mundo Novo(GO),4887,307
