"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","POP_DENS","Population density (persons per km2)","2007","2007","RATIO","Ratio","0","units",,,100.46,,
"AUT","Austria","POP_DENS","Population density (persons per km2)","2008","2008","RATIO","Ratio","0","units",,,100.91,,
"AUT","Austria","POP_DENS","Population density (persons per km2)","2009","2009","RATIO","Ratio","0","units",,,101.36,,
"AUT","Austria","POP_DENS","Population density (persons per km2)","2010","2010","RATIO","Ratio","0","units",,,101.62,,
"AUT","Austria","POP_DENS","Population density (persons per km2)","2011","2011","RATIO","Ratio","0","units",,,101.97,,
"AUT","Austria","POP_DENS","Population density (persons per km2)","2012","2012","RATIO","Ratio","0","units",,,102.45,,
"AUT","Austria","POP_GROWTH","Population annual average growth rate","2012","2012","PC","Percentage","0","units",,,0.448,,
"BE001","Brussels","POP","Total population metro area","2000","2000","PER","Persons","0","units",,,2251422,,
"BE001","Brussels","POP","Total population metro area","2001","2001","PER","Persons","0","units",,,2273476,,
"BE001","Brussels","POP","Total population metro area","2002","2002","PER","Persons","0","units",,,2295819,,
"BE001","Brussels","POP","Total population metro area","2003","2003","PER","Persons","0","units",,,2318449,,
"BE001","Brussels","POP","Total population metro area","2004","2004","PER","Persons","0","units",,,2341379,,
"BE001","Brussels","POP","Total population metro area","2005","2005","PER","Persons","0","units",,,2364615,,
"BE001","Brussels","POP","Total population metro area","2006","2006","PER","Persons","0","units",,,2388156,,
"BE001","Brussels","POP","Total population metro area","2007","2007","PER","Persons","0","units",,,2412004,,
"BE001","Brussels","POP","Total population metro area","2008","2008","PER","Persons","0","units",,,2436174,,
"BE001","Brussels","POP","Total population metro area","2009","2009","PER","Persons","0","units",,,2460663,,
"BE001","Brussels","POP","Total population metro area","2010","2010","PER","Persons","0","units",,,2485480,,
"BE001","Brussels","POP","Total population metro area","2011","2011","PER","Persons","0","units",,,2510626,,
"BE001","Brussels","POP","Total population metro area","2012","2012","PER","Persons","0","units",,,2536106,,
"BE001","Brussels","POP_CORE","Population of the core area","2000","2000","PER","Persons","0","units",,,960253,,
"BE001","Brussels","POP_CORE","Population of the core area","2001","2001","PER","Persons","0","units",,,973565,,
"BE001","Brussels","POP_CORE","Population of the core area","2002","2002","PER","Persons","0","units",,,987092,,
"BE001","Brussels","POP_CORE","Population of the core area","2003","2003","PER","Persons","0","units",,,1000834,,
"BE001","Brussels","POP_CORE","Population of the core area","2004","2004","PER","Persons","0","units",,,1014799,,
"BE001","Brussels","POP_CORE","Population of the core area","2005","2005","PER","Persons","0","units",,,1028991,,
"BE001","Brussels","POP_CORE","Population of the core area","2006","2006","PER","Persons","0","units",,,1043411,,
"BE001","Brussels","POP_CORE","Population of the core area","2007","2007","PER","Persons","0","units",,,1058062,,
"BE001","Brussels","POP_CORE","Population of the core area","2008","2008","PER","Persons","0","units",,,1072954,,
"BE001","Brussels","POP_CORE","Population of the core area","2009","2009","PER","Persons","0","units",,,1088083,,
"BE001","Brussels","POP_CORE","Population of the core area","2010","2010","PER","Persons","0","units",,,1103463,,
"BE001","Brussels","POP_CORE","Population of the core area","2011","2011","PER","Persons","0","units",,,1119088,,
"BE001","Brussels","POP_CORE","Population of the core area","2012","2012","PER","Persons","0","units",,,1134967,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2000","2000","RATIO","Ratio","0","units",,,689.42,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2001","2001","RATIO","Ratio","0","units",,,696.17,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2002","2002","RATIO","Ratio","0","units",,,703.01,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2003","2003","RATIO","Ratio","0","units",,,709.94,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2004","2004","RATIO","Ratio","0","units",,,716.96,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2005","2005","RATIO","Ratio","0","units",,,724.08,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2006","2006","RATIO","Ratio","0","units",,,731.29,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2007","2007","RATIO","Ratio","0","units",,,738.59,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2008","2008","RATIO","Ratio","0","units",,,745.99,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2009","2009","RATIO","Ratio","0","units",,,753.49,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2010","2010","RATIO","Ratio","0","units",,,761.09,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2011","2011","RATIO","Ratio","0","units",,,768.79,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2012","2012","RATIO","Ratio","0","units",,,776.59,,
"BE001","Brussels","POP_GROWTH","Population annual average growth rate","2012","2012","PC","Percentage","0","units",,,0.997,,
