SA2_MAINCODE_2016,SA2_5DIGITCODE_2016,SA2_NAME_2016,SUA_CODE_2016,SUA_NAME_2016,AREA_ALBERS_SQKM
511031281,51281,Kalgoorlie Airport,5007,Kalgoorlie - Boulder,7.4496
511031282,51282,Kambalda - Coolgardie - Norseman,5000,Not in any Significant Urban Area (WA),218578.0699
511031283,51283,Leinster - Leonora,5000,Not in any Significant Urban Area (WA),495832.2966
511031284,51284,Trafalgar (WA),5000,Not in any Significant Urban Area (WA),27.6123
511041285,51285,Geraldton,5006,Geraldton,21.8753
511041286,51286,Geraldton - East,5006,Geraldton,80.9732
511041287,51287,Geraldton - North,5006,Geraldton,143.0266
511041288,51288,Geraldton - South,5006,Geraldton,26.2854
511041289,51289,Irwin,5000,Not in any Significant Urban Area (WA),2369.3298
511041290,51290,Meekatharra,5000,Not in any Significant Urban Area (WA),414527.0471
511041291,51291,Morawa,5000,Not in any Significant Urban Area (WA),23464.3302
511041292,51292,Northampton - Mullewa - Greenough,5000,Not in any Significant Urban Area (WA),26161.8873
597979799,59799,Migratory - Offshore - Shipping (WA),5000,Not in any Significant Urban Area (WA),0
599999499,59499,No usual address (WA),5000,Not in any Significant Urban Area (WA),0
601011001,61001,Bridgewater - Gagebrook,6003,Hobart,55.7463
601011002,61002,Brighton - Pontville,6003,Hobart,88.7598
601011003,61003,Old Beach - Otago,6003,Hobart,31.5716
601021004,61004,Bellerive - Rosny,6003,Hobart,4.7182
601021005,61005,Cambridge,6003,Hobart,101.7067
601021006,61006,Geilston Bay - Risdon,6003,Hobart,8.7147
601021007,61007,Howrah - Tranmere,6003,Hobart,9.4115
601021008,61008,Lindisfarne - Rose Bay,6003,Hobart,7.9978
601021009,61009,Mornington - Warrane,6003,Hobart,8.2145
601021010,61010,Risdon Vale,6003,Hobart,35.4878
601021011,61011,Rokeby,6003,Hobart,15.4231
601021012,61012,South Arm,6000,Not in any Significant Urban Area (Tas.),74.2672
601031013,61013,Austins Ferry - Granton,6003,Hobart,27.3675
601031014,61014,Berriedale - Chigwell,6003,Hobart,34.0496
601031015,61015,Claremont (Tas.),6003,Hobart,17.9226
601031016,61016,Derwent Park - Lutana,6003,Hobart,4.9191
601031017,61017,Glenorchy,6003,Hobart,10.4597
601031018,61018,Montrose - Rosetta,6003,Hobart,5.7328
601031019,61019,Moonah,6003,Hobart,2.794
