City,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Vigo,"12,700","13,600","14,200","15,100","16,400","17,500","19,100","20,500","21,300","20,100","19,700","19,200","18,500","18,700","19,000","19,800","20,400","21,800","22,100","23,000","21,300",:
Santa Cruz de Tenerife,"15,600","16,800","17,600","18,400","19,200","20,200","20,900","21,800","21,700","20,200","20,700","20,400","19,500","19,100","19,100","19,800","20,100","21,000","21,300","21,600","17,700",:
A Coru§a,"12,700","13,600","14,800","15,800","17,000","18,400","19,700","21,300","22,100","21,600","21,900","21,400","20,500","20,600","20,500","21,700","22,600","23,200","24,200","24,700","22,500",:
Granada,"10,600","11,500","12,500","13,300","14,100","14,800","16,300","17,200","17,400","16,500","16,300","16,200","15,800","15,700","16,300","17,100","17,200","17,700","18,200","18,900","17,100",:
Guip£zcoa,"20,100","22,000","22,800","23,600","25,000","26,500","29,000","30,700","30,900","29,300","29,700","29,600","28,900","28,400","28,600","29,500","30,300","32,400","33,200","34,300","30,400",:
Paris,"39,300","40,400","41,600","42,100","43,200","44,700","46,100","48,800","50,300","48,600","51,200","51,800","52,800","53,700","54,200","55,400","56,300","57,700","59,400","61,600","56,700","61,700"
Lyon,"30,900","31,700","31,900","32,500","34,300","35,200","37,400","38,600","41,000","39,100","40,700","41,500","42,200","42,100","42,500","43,500","44,600","46,100","48,100","49,300","46,600","51,400"
Toulouse,"25,500","27,400","27,800","28,100","28,700","30,200","33,100","32,900","34,100","33,800","34,000","35,400","36,900","37,600","38,400","39,300","39,900","40,300","41,800","42,200","37,800","39,400"
Strasbourg,"25,200","25,500","25,800","26,600","27,600","27,500","28,600","30,100","31,400","30,500","30,700","31,600","31,400","31,800","32,300","32,600","33,300","33,800","34,600","35,300","33,300","35,600"
Bordeaux,"24,100","25,700","26,000","26,400","27,200","28,000","29,400","30,400","30,000","29,800","30,800","31,700","31,900","31,100","31,500","32,200","33,000","33,900","35,000","35,600","33,700","37,200"
Nantes,"24,100","25,100","25,500","26,200","27,100","28,000","29,100","30,300","31,400","30,300","30,300","31,700","32,100","32,200","32,700","33,800","34,100","35,000","35,900","37,200","35,300","37,400"
Lille - Dunkerque - Valenciennes,"20,300","20,900","21,700","22,500","23,400","24,100","25,400","26,600","27,600","26,700","26,900","27,900","27,800","28,200","28,500","29,200","29,500","30,400","31,200","31,600","30,400","32,800"
Montpellier,"20,300","21,300","21,500","22,100","23,000","23,900","25,000","25,900","27,300","26,800","27,600","28,100","28,100","27,600","27,800","28,000","28,500","28,800","29,400","30,000","28,900","31,200"
Saint-Etienne,"19,000","19,700","20,200","20,300","21,400","22,300","23,500","24,600","26,300","25,300","24,700","26,100","26,000","25,900","26,200","26,500","26,800","27,400","28,000","28,600","27,700","29,100"
