City,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Osnabrück,:,4,10,13.87,19.62,19.51,17.33,32.41,62.87,47.34,55.76,44.43,56.95,41.57,52.16,55.3,46.94,40.91,57.68,63.14,71.03,77.85,122.32,103.09,93.57,112.6,125.53,153.25,163.74,114.24,102.38,113.63,94.37,119.7,122.24,92.74
Oldenburg (Oldenburg),:,4.41,5.53,8.71,7.36,4.75,13.63,14.16,23.17,26.63,21.03,29.7,36.59,17.4,24.38,25.72,21.9,32.14,18.9,26.42,28.45,45.93,19.4,33.67,23.7,28.27,39.54,29.19,64.41,45.32,42.15,55.92,62.56,57.4,62.81,30.95
Heidelberg (NUTS 2010),41.72,137.91,178.51,194.36,266.1,244.85,209.84,287.68,279.18,287.46,316.07,353.27,329.5,330.1,316.38,334.23,328.73,324.1,324.14,352.6,373.44,446.18,437.75,461.21,521.3,541.45,596.12,581.12,537.17,556.82,580.41,567.11,582.11,546.86,561.29,433.36
Paderborn,:,8,9.5,4.33,13,20.17,32.08,22.83,26.89,29.15,42.41,30,27.1,29.08,34.87,29.24,31.08,36.33,42.1,55.91,75.2,54.2,76.52,81.77,84.12,78.17,84.41,74.41,65.91,81.71,76.04,123.72,117.41,105.57,110.46,82.27
Würzburg,:,:,:,21.39,28.6,26.5,28.58,40.84,44.37,48.17,70.59,57.76,60.2,72.44,92.53,87.14,76.86,116.8,105.4,140.73,153.31,133.69,166.85,214.63,254.16,231.92,221.94,256.03,193.54,206.16,255.18,203.4,196.2,151.4,153.6,151.18
Bremerhaven,:,:,2.75,3.33,2.58,4.5,:,8.89,:,5,6.17,13.37,6.66,7.2,8.68,6.99,9.97,13.22,9.43,7.01,7.07,15.95,18.52,14.53,18.91,15.62,12.34,20.23,19.52,27.92,25.38,11.18,19.4,26.63,26.43,14.02
Heilbronn,6.45,12.91,37.33,26.88,21.18,30.13,33.2,42.96,60.58,69.35,70.75,81.84,86.04,66.21,59.71,76.64,83.21,76.39,90.68,108.09,126.57,140.19,122.36,159.1,151.37,149.39,141.93,184.74,182.83,164.73,146.31,149.8,162.15,178.23,166.46,118.54
Ulm,:,9,19.04,29.27,36.41,43.62,45.58,67.85,73.73,75.7,99.64,103.21,116.05,83.03,107.01,103.43,111.27,114.16,111.38,145.5,194.91,171.07,160.57,193.6,220.43,242.77,238.36,225.86,250.45,261.13,264.93,239.61,240.45,217.54,213.6,158.85
Pforzheim,3.66,4.95,11.09,28.25,26.14,39.28,51.02,65.95,74.51,81.04,96.85,95.35,109.61,96.38,106.27,91.06,72.63,92.21,107,123.61,119.16,116.31,127.94,113.9,139.2,136.75,137.65,143.8,143.12,175.82,137.63,111.93,132.95,139.72,117.77,99.07
Ingolstadt,:,:,9.53,:,21.81,34.26,42.41,59.62,76.09,69.57,67.22,65.41,72.18,77.26,69.27,61.13,49.39,64.19,71.5,92.25,111.02,119.78,111.38,115.73,151.82,134.36,144.59,173.59,139.5,133.23,157.16,130.06,144.38,201.91,255.04,202.48
Reutlingen,0.25,2.12,7.03,12.67,27.02,24.58,23.75,28.97,30.53,43.33,43.27,38.2,66.67,50.82,49.38,51.03,46.96,59.32,50.89,72.27,91.49,95.14,103.1,112.88,147.71,140.14,111.89,160.2,157.95,175.93,156.19,142.88,139.54,150.69,145.48,99.3
Siegen,6,26.35,22.5,43.63,25.05,33.45,33.17,54.87,58.66,64.35,70.28,78.67,74.97,63.81,74.81,61.95,57.57,68.27,87.53,104.29,108.42,113.69,106.67,110.49,96.16,82.76,108.62,81.46,108.59,141,111.65,102.4,103.3,97.64,104.59,75.41
Hildesheim,:,7.5,13.73,10.3,20.28,19.75,23.73,24,34.68,42.75,35.29,54.53,46.92,34.88,29.98,34.53,53.73,37.22,49.6,86.57,115.28,102.03,130.21,104.98,85.99,82.86,83.36,86.22,91.98,79.12,102.24,81.77,68.71,47.98,44.54,39.49
Zwickau,:,0.24,:,:,:,:,:,:,1,0.2,0.4,0.33,0.46,0.83,3.67,1.15,3.85,6.32,8.08,16.48,12.03,15.13,12.16,9.6,11.32,11.89,13.49,7.88,10.02,16.03,18.62,18.77,15.31,17.29,14.88,21.97
Wuppertal,39.63,79.1,101.8,106.32,97.62,102.65,115.57,109.42,119.7,112.14,130.03,111.46,138.82,101.32,112.59,125.03,105.81,118.14,91.15,118.01,115.05,113.61,131.95,107.31,114.15,112.89,121.94,113.48,135.32,111.35,109.99,87.57,97.12,77.59,85.48,69.98
Tallinn,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.5,2,1.13,1,3.5,4.33,4.9,5.37,4.42,5.17,5.6,7.07,6.32,5.12,12.52,18.25,29.5,31.22,23.87,17.4,13.38
Dublin,:,5,9.5,12.67,14.16,13.5,11,16.96,26.92,22.23,27.22,31.61,28.91,33.96,32.3,40.41,43.67,47.78,55.65,55.27,71.26,77.8,104.87,109.66,126.67,90.68,72.99,109.67,93.41,109.64,134.44,130.21,136.65,122.73,168.28,125.48
Cork,:,:,1,2.33,2,1,6,6.98,5,8.6,6.58,4.14,4,7.17,10.2,4.49,3.5,4.42,11.12,20.89,11.98,36.03,42.12,31.45,29.48,45.09,45.98,37.66,43.72,36.27,35.84,44.69,54.53,35.65,46.85,14.17
Athina,1,1,3.17,3.53,6.2,6.33,4,9.08,4.83,9.9,16,10.08,16,13.5,16.58,26.25,8.5,22.41,17.18,27.28,35.2,40.61,36.98,32.72,42.27,45.92,52.25,43.12,66.82,59.32,60.13,54.73,51.73,37.73,44.53,50.73
Thessaloniki,:,:,:,:,:,1,1.67,2,:,4.17,:,4.5,3,6,2,4,3,3,4,5.5,8.5,8.5,6.92,9.92,9.6,10.48,12.67,8.33,16.5,22.9,11.76,10.2,16.1,12.61,17.81,6.49
Madrid,1,6,3,6.83,5.5,9.83,28.17,29.17,33.83,35.06,36.85,43.99,62.17,63.25,74.42,76.76,82.54,84.57,81.55,84.92,108.73,144.89,155.58,131,162.9,142.75,166.12,209.32,244.56,255.2,263.46,305.33,349.61,314.05,314.17,246.06
Barcelona,:,9.33,8.25,17.33,24.75,32.67,46.17,34.2,48,57.67,76.75,94.35,113.27,106.52,124.32,82.81,131.39,139.37,136.28,145.64,194.07,184.81,229.41,273.11,295.95,332.03,347.1,436.63,436.87,458.3,464.93,443.39,435.91,406.87,441.45,391.09
Valencia,:,:,:,1,:,1.5,3,1,3,6,5,9.33,9.33,7.33,9,7.25,17.81,29.12,12,20.25,27.65,29.68,46.7,41.51,65.61,58.99,62.09,72.67,62.92,46.44,75.71,75.69,86.99,62.83,72.57,70.47
Sevilla,:,:,:,:,2,:,0.6,:,:,1.2,2.33,6.26,2.17,4,3.33,1.5,1.33,2.96,1.75,6.42,11.95,5.7,8.17,14.12,9.76,10.52,12.52,10.57,25.85,20.91,21.8,22.34,46.69,37.57,30.79,34.23
Zaragoza,1,2,1.33,:,:,1,2,:,:,1,2,3,3.5,4.5,9,12.5,8.5,8.53,12,20,17.17,32.92,15.88,32.58,20.72,44.17,29.52,28.59,47.79,40.38,69.63,52.66,72.11,73.25,101.4,69.52
Málaga - Marbella,:,1,5.33,:,4.33,5.5,2,2,2,2.5,1,2.5,1.5,4,2,2.5,0.92,2.17,5.33,8.08,12,5,9,13.87,12.39,18.42,12,12.03,5.7,8.62,9.18,15.89,8.83,15.3,10.29,10.37
