City,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Valencia,"37,713.56","40,643.20","43,575.28","45,383.26","47,759.14","50,615.77","55,877.84","60,648.13","62,400.48","57,914.15","57,563.75","57,065.92","55,665.02","55,516.35","57,313.85","59,132.60","60,090.31","62,381.37","64,507.19","66,904.37","59,473",:
Sevilla,"23,236.52","24,987.36","27,416.86","29,077.72","30,714.49","33,413.68","36,321.20","39,188.28","39,662.56","37,806.61","37,290.82","37,248.05","37,088.49","36,262.11","37,402.63","38,503.46","39,257.87","41,332.56","42,165.83","43,634.33","38,781",:
Zaragoza,"16,249.61","17,114.03","18,545.07","19,490.46","20,599.64","22,178.73","24,455.65","26,503.70","27,046.53","25,555.76","25,486.66","25,172.69","24,533.29","24,669.91","25,257.74","25,922.20","26,823.34","28,550.97","29,202.76","30,305.74","27,414",:
M†laga - Marbella,"16,799.51","18,545.88","19,778.84","21,165.91","23,148.48","25,932.41","28,158.08","29,620.60","30,269.06","28,905.39","28,593.15","28,200.64","27,463.44","27,380.15","28,506.76","29,793.29","30,463.10","32,224.40","33,132.05","34,661.89","29,776",:
Murcia - Cartagena,"17,645.78","18,977.18","20,579.12","21,907.53","23,224.86","25,393.48","28,006.46","30,167.41","31,103.68","29,069.52","29,057.86","28,416.56","28,162.07","28,435.76","28,930.40","30,830.35","31,740.15","33,250.79","33,371.74","34,787.45","31,332",:
Las Palmas,"12,435.14","13,253.44","13,890.36","14,389.12","14,640.76","15,268.40","16,566.78","17,486.54","17,773.88","16,819.01","16,511.59","16,372","16,018.11","16,113.27","16,247.95","16,538.45","17,450.31","18,336.67","18,751.03","19,322.99","15,626",:
Valladolid,"8,966.82","9,477.96","10,047.67","10,315.17","10,860.65","11,693.86","12,658.96","13,482.85","13,513.41","12,782.14","13,066.85","12,888.54","12,686.77","12,657.05","13,004.16","13,506.72","14,209.92","14,987.51","15,448.65","15,752.74","14,130",:
Palma de Mallorca,"15,385.43","16,394.71","17,231.35","17,624.68","18,576.93","20,003.56","21,996.30","23,583.48","24,370.76","22,970.72","22,702.23","22,548.83","22,497.80","22,588.53","23,496.79","24,747","26,053.80","27,608.65","28,371.86","29,509.28","22,620",:
Vitoria/Gasteiz,"7,057.67","7,563.58","8,183.08","8,501.95","9,028.65","9,823.12","11,070.58","11,996","12,523.36","11,413.83","11,269.19","11,390.92","11,286.73","11,474.24","11,942.69","12,221.84","12,936.68","13,450.32","13,672.76","13,791.91","12,371",:
Oviedo - Gij¢n,"16,060.18","17,059.63","17,996.37","18,606.90","19,519.24","21,115.57","23,285.41","24,907.51","25,487.69","23,681.73","23,666.22","23,345.25","22,697.18","22,209.86","22,373.08","23,130.68","23,445.62","24,600.70","24,926.57","25,522.11","22,425",:
Pamplona/Iru§a,"12,548.51","13,194.91","14,042.49","14,628.30","15,393.30","16,512.59","17,992.67","19,151.52","19,793.53","18,801.45","18,711.42","18,719.81","18,360.29","18,445.30","18,952.87","19,631.75","20,258.23","21,261.75","21,533.11","22,467.41","19,969",:
Santander,"8,945.82","9,541.59","10,153.90","10,475.22","11,002.06","11,853.19","12,893.95","13,818.89","14,174.64","13,435.63","13,363.29","13,169.79","12,926","12,702.92","13,063.67","13,340.94","13,765.06","14,402.37","14,750.70","15,263.78","13,535",:
Bilbao,"23,579.20","24,289.53","25,627.72","26,721.18","27,930.72","30,037.47","32,355.02","34,235.70","35,673.49","34,055.51","34,227.63","33,687.72","33,434.98","32,989.37","34,074.96","35,525.44","36,392.90","37,390.94","38,190.64","39,575.71","34,675",:
C¢rdoba,"9,154.15","9,551.91","10,082.68","10,830.36","11,612.84","12,323.96","13,678.53","14,713.10","14,798.75","14,019.61","13,772.48","13,623.71","13,073.40","13,308.48","13,519.62","14,296.66","14,529.48","15,237.20","15,242.76","15,200.28","13,779",:
Alicante/Alacant - Elche/Elx,"22,810.23","24,766.97","26,403.77","27,818.41","29,821.84","32,325.86","35,329.05","37,118.73","37,643.26","34,765.17","33,949.54","32,868.77","32,015.65","31,982.55","33,299.69","34,538.52","36,146.94","38,126.32","38,630.17","40,220.14","35,859",:
Vigo,"12,840.19","13,611.76","14,184.81","14,959.84","16,077.04","17,198.41","19,174.62","20,749.74","21,455.59","20,027.72","19,552.01","19,070.92","18,756.27","18,979.02","19,538.90","20,289.85","20,784.68","22,299.19","22,336.14","23,289.74","21,217",:
Santa Cruz de Tenerife,"12,075.17","12,979.50","13,915.67","14,663.93","15,566.16","16,852.01","18,179.33","19,418.65","19,644.95","18,180.70","18,656.91","18,617.23","18,362.83","18,213.84","18,606.45","19,412.62","19,858.75","21,122.55","21,526.83","22,294.97","18,068",:
A Coru§a,"15,663.53","16,556.08","18,000.97","18,876.71","20,057.08","21,741.28","23,799.25","25,831.64","26,719.92","25,805.21","25,912.17","25,396.65","24,854.88","25,003.88","25,108.06","26,426.20","27,384.93","28,319.29","29,107.29","29,834.82","26,600",:
Granada,"9,730.11","10,421.07","11,384.04","12,061.54","12,720.91","13,576.33","15,452.49","16,518.88","16,829.88","15,844.54","15,582.61","15,591.20","15,523.24","15,505.60","16,177.74","16,983.02","17,006.88","17,616.06","17,894.51","18,711.55","16,698",:
Guip£zcoa,"15,157.71","16,410.13","17,011.99","17,309.34","18,214.08","19,376.07","21,621.40","23,061.78","23,184.93","21,689.30","21,837.16","21,831.78","21,738.75","21,491.96","21,857.85","22,575","23,208.36","25,000.40","25,326.01","26,364.27","22,979",:
Paris,"388,354.47","408,821.36","425,038.49","420,709.68","430,746.67","458,938.60","473,737.30","504,374.32","518,191.27","500,128.09","536,092","545,065.43","551,483.41","573,182.38","580,310.24","596,127.21","610,705.32","629,051.26","654,174.35","699,606.08","646,184.10","705,575.65"
Lyon,"43,982.07","46,270.86","47,028.10","46,983.67","49,420.40","52,336.50","55,615.84","57,831.55","61,302.65","58,794.73","62,570.03","64,449.65","65,361.10","67,045.79","68,305.85","70,875.78","73,166.25","76,280.51","80,948.44","85,757.42","81,711.80","90,801.68"
Toulouse,"24,452.63","27,202.09","28,176.43","28,156.26","28,959.61","31,755.67","35,100","35,356.61","36,698.93","36,599.32","37,766.52","39,865.34","41,606.18","43,790.42","45,250.31","46,972.68","48,277.57","49,432.60","52,343.17","55,066.88","49,955.47","52,866"
Strasbourg,"23,309.49","24,197.53","24,756.06","24,921.03","25,723.27","26,478.93","27,482.45","29,094.55","30,173","29,256.72","29,815.44","30,816.16","30,418.27","31,461.83","31,926.45","32,419.77","33,376.37","34,135.65","35,423.12","37,357.43","35,624.21","38,290.78"
Bordeaux,"28,105.54","30,829.29","31,633.63","31,585.19","32,603.37","34,665.37","36,618.32","38,179.10","37,691.30","37,590.87","39,797.54","41,337.97","41,719.14","41,994.54","43,009.55","44,687.11","46,436.84","48,352.52","50,856.72","53,704.74","51,534.98","57,574.52"
Nantes,"24,812.46","26,570.90","27,385.77","27,691.17","28,697.88","30,662.62","32,074.37","33,713.25","34,860.40","33,850.76","34,567.76","36,610.81","37,051.52","38,365.73","39,320.27","41,263.96","42,253.66","43,954.49","45,959.62","49,463.60","47,573.68","51,056.38"
