City,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bristol,:,41.7,36.9,37.3,38.6,34.1,35.1,34.5,33.9,37,35.3,:,:,:
Belfast,:,:,:,:,33.8,35.2,35.9,:,:,:,:,:,:,:
Newcastle upon Tyne,:,43.3,42.4,44.1,43.3,43.4,41.9,37.9,39.7,42.3,40.4,:,:,:
Leicester,:,42,40.7,39.7,38,38.1,41.7,41.3,41.7,37.7,39.1,:,:,:
Aberdeen,:,40,36,36.2,37.7,39.2,34,34,32.6,35.7,30.5,:,:,:
Cambridge,:,37.3,36.3,34.8,33,34.5,34.9,33.6,36.9,31.5,36.1,:,:,:
Exeter,:,42.9,42.1,40.7,43.1,39,39.8,38.2,37,37.9,42,:,:,:
Lincoln,:,:,:,:,:,:,:,45.7,43.1,41.2,46.9,:,:,:
Portsmouth,:,45.2,42.8,44.8,44.6,38.8,40.5,42.2,42.3,41.8,38.7,:,:,:
Coventry,:,38.8,38.5,38.2,41.7,37.8,35,38.2,37.7,40.1,38,:,:,:
Kingston upon Hull,:,43.9,42.7,43.5,43,46.6,42.3,38.8,39.4,41.4,41.4,:,:,:
Stoke-on-Trent,:,42.4,44.3,45.5,42.9,47,41.4,43.7,44.1,43.3,42.6,:,:,:
Nottingham,:,41.9,38.1,38.6,35.7,36.6,37.1,33.3,36.8,34.7,33.1,:,:,:
Kirklees,:,42.8,42.7,42.4,40.1,39.3,38.9,36.8,40.2,37.9,40,:,:,:
Doncaster,:,48,46.7,46.5,46.8,47.4,46.3,46.5,44.6,43.9,48.4,:,:,:
Sunderland,:,48.7,50.7,47.4,44.7,49.2,47.3,42.8,44.2,47.8,42.3,:,:,:
Medway,:,40.1,42.9,43.1,44.5,44.6,47.4,43.5,48.9,48.4,41.8,:,:,:
Brighton and Hove,:,32,34.5,36.1,28.8,33.1,31.5,30.9,26.5,27.2,26.1,:,:,:
Plymouth,:,46.2,43.7,45.9,45.4,48.2,49.1,44.5,52.2,46,41.7,:,:,:
