ClusterID	AllPeople	d_Work	AgricultHF	Manufact	Construct	HotelRest	FinanceInt	RealEstate	Admin	Education	Income	NetIncome	NIncBH	NIncAH	Households	CarsVans	Dwellings	OccuDwell	UnDwell	UnSecDwell	Employed	Managers	Profess	technical	Admin2	SkillTrd	Service	Sales	plant	Basic	Coach	Train	Patents	Morphology
165	17999	33.52	55	1375	869	326	703	834	355	512	4919020	3652990	2800190	2420000	6943	9607	7011	6943	68	3	9164	1033	528	1014	1679	1276	555	1026	992	1061	0	0	3	2
166	3755	10.03	4	337	134	77	50	114	85	101	614040	540940	467840	423980	1462	1528	1489	1462	27	0	1621	171	113	183	181	201	137	154	213	268	0	0	1	1000
167	3320	14.13	6	248	102	57	68	97	118	129	640800	534000	480600	427200	1335	1503	1368	1335	33	3	1548	188	174	263	232	161	121	105	127	177	0	0	3	1
168	14004	29.03	74	1025	414	304	263	1889	226	501	4899930	3788560	3417140	3035510	5972	8765	6107	5971	136	37	7190	1789	1061	1098	874	673	396	418	311	570	0	1	71	2
169	4356	14.76	24	359	151	41	46	452	134	229	1272800	1034150	795500	684130	1591	2248	1610	1591	19	0	2311	349	337	279	293	228	176	180	196	273	0	0	0	1
170	197719	296.48	770	17716	6353	4283	7804	13234	4029	5402	44068650	35582030	31922960	27760670	82393	98758	84916	82383	2533	192	103072	14290	10391	13460	15185	11187	5353	9497	9948	13761	8	1	409	4002020
171	6408	56.02	26	583	168	164	109	215	97	135	1095900	952900	849100	758930	2593	2882	2634	2590	44	7	2758	295	198	350	353	302	188	222	310	540	0	1	3	4
172	10790	40.52	17	406	217	257	134	450	301	550	2209740	1823440	1775660	1616140	4962	5527	5215	4962	253	112	4061	681	794	685	465	365	252	303	174	342	0	0	5	2
173	18045	23.9	41	1587	530	331	425	723	628	576	3143340	2713380	2364780	2122680	7166	7776	7376	7166	210	8	7886	978	755	1032	1208	954	432	733	767	1027	0	1	17	2
174	5330	14.56	56	297	202	115	66	593	147	223	1536600	1229280	1158360	992880	2364	2819	2435	2365	70	13	2804	471	418	413	350	295	185	161	184	327	0	0	4	1000
