NOME DO MUNICÍPIO,COD. MUNIC,POPULAÇÃO ESTIMADA
Monte Mor/SP,3531803,61707.00
Barra do Garças/MT,5101803,61702.00
Barbalha/CE,2301901,61662.00
Morada Nova/CE,2308708,61590.00
Salgueiro/PE,2612208,61561.00
Irati/PR,4110706,61439.00
Cristalina/GO,5206206,61385.00
Dom Eliseu/PA,1502939,61206.00
Ibitinga/SP,3519600,61150.00
Euclides da Cunha/BA,2910701,61112.00
Bezerros/PE,2601904,60960.00
Rio Bonito/RJ,3304300,60930.00
Sidrolândia/MS,5007901,60792.00
Mirassol/SP,3530300,60768.00
São Bento do Una/PE,2613008,60567.00
Jacundá/PA,1503804,60517.00
Frutal/MG,3127107,60508.00
São Miguel do Guamá/PA,1507607,60268.00
Limoeiro do Norte/CE,2307601,60232.00
Santo Amaro/BA,2928604,60190.00
Floriano/PI,2203909,60111.00
Ponte Nova/MG,3152105,60003.00
Juruti/PA,1503903,59961.00
Tutóia/MA,2112506,59927.00
Jaguariúna/SP,3524709,59921.00
São Borja/RS,4318002,59768.00
Cachoeiras de Macacu/RJ,3300803,59652.00
Cruz Alta/RS,4306106,59561.00
Buíque/PE,2602803,59448.00
Parobé/RS,4314050,59419.00
Guarabira/PB,2506301,59389.00
Ipirá/BA,2914000,59281.00
Tauá/CE,2313302,59259.00
Tefé/AM,1304203,59250.00
Açu/RN,2400208,58743.00
Mongaguá/SP,3531100,58567.00
Santa Isabel/SP,3546801,58529.00
União da Vitória/PR,4128203,58298.00
Monte Alegre/PA,1504802,58289.00
Içara/SC,4207007,58055.00
Campo Alegre/AL,2701407,57997.00
Vargem Grande/MA,2112704,57813.00
Taquara/RS,4321204,57740.00
Coruripe/AL,2702306,57647.00
Taquaritinga/SP,3553708,57547.00
Manicoré/AM,1302702,57405.00
Alenquer/PA,1500404,57390.00
Paudalho/PE,2610608,57346.00
Andradina/SP,3502101,57245.00
Humaitá/AM,1301704,57195.00
Três Pontas/MG,3169406,57127.00
Capivari/SP,3510401,56973.00
Porto Ferreira/SP,3540705,56848.00
Pirapora/MG,3151206,56845.00
Mafra/SC,4210100,56825.00
Trairi/CE,2313500,56653.00
São Francisco/MG,3161106,56625.00
Naviraí/MS,5005707,56484.00
Registro/SP,3542602,56463.00
Canguçu/RS,4304507,56370.00
Artur Nogueira/SP,3503802,56247.00
Limoeiro/PE,2608909,56149.00
Nova Andradina/MS,5006200,56057.00
Congonhas/MG,3118007,55836.00
Rolim de Moura/RO,1100288,55748.00
Acará/PA,1500206,55744.00
Piedade/SP,3537800,55731.00
Ibiporã/PR,4109807,55688.00
Olímpia/SP,3533908,55477.00
São José do Rio Pardo/SP,3549706,55298.00
Catu/BA,2907509,55222.00
Granja/CE,2304707,55170.00
Eusébio/CE,2304285,55035.00
Capão da Canoa/RS,4304630,55009.00
